Unnamed: 0,nct_id,downcase_mesh_term,official_title,brief_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,enrollment,observational_model,intervention_model,time_perspective,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
2089,NCT03157466,euthyroid sick syndromes,Diaphragmatic Efficiency After Thyroid Hormone Replacement Therapy in Ventilated Patients With the Nonthyroidal Illness Syndrome: a Physiological Study,Respiratory Muscle Function After Thyroid Hormone Replacement Therapy in Nonthyroidal Illness Syndrome,Respiratory Failure|Thyroid Diseases,2017-05-12,2018-05-01,2018-05-01,15.0,Cohort,,Prospective,Observational,Completed,,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli,,Italy,18.0,120.0,[18-65]|[65 and more],Euthyroid Sick Syndromes,Euthyroid Sick Syndromes,https://clinicaltrials.gov/ct2/show/NCT03157466
2090,NCT03158961,thyroid nodule,A Prospective Evaluation of the Feasibility and Safety of the Transoral Endoscopic Thyroidectomy Vestibular Approach (TOETVA) as a Treatment for Benign Thyroid Nodules,The Feasibility and Safety of the TOETVA for Benign Thyroid Nodules,Thyroid Diseases,2017-05-15,2019-05-31,2019-07-31,10.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,The University of Hong Kong,The University of Hong Kong,Queen Mary Hospital,Procedure,Hong Kong,18.0,120.0,[18-65]|[65 and more],Nodule,Nodule,https://clinicaltrials.gov/ct2/show/NCT03158961
2091,NCT03158961,thyroid neoplasms,A Prospective Evaluation of the Feasibility and Safety of the Transoral Endoscopic Thyroidectomy Vestibular Approach (TOETVA) as a Treatment for Benign Thyroid Nodules,The Feasibility and Safety of the TOETVA for Benign Thyroid Nodules,Thyroid Diseases,2017-05-15,2019-05-31,2019-07-31,10.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,The University of Hong Kong,The University of Hong Kong,Queen Mary Hospital,Procedure,Hong Kong,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03158961
2092,NCT03160274,thyroid neoplasms,"Genetic Analysis of Pheochromocytomas, Paragangliomas and Associated Conditions","Genetic Analysis of Pheochromocytomas, Paragangliomas and Associated Conditions",Associated Conditions|Bone Cancer|Inherited Cancer Syndrome|Kidney Neoplasms|Other Cancer|Paraganglioma|Pheochromocytoma|Thyroid Neoplasms,2017-05-05,2030-12-31,2030-12-31,2000.0,Cohort,,Other,Observational [Patient Registry],Recruiting,,The University of Texas Health Science Center at San Antonio,National Institute of General Medical Sciences (NIGMS)|The University of Texas Health Science Center at San Antonio,University of Texas Health Science Center,Genetic,United States,0.0,120.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03160274
2093,NCT03160482,thyroid neoplasms,Evaluation of PACE4 Isoforms as Biomarkers in Thyroid Cancer,PACE4 in Thyroid Cancer,Thyroid Nodule,2017-05-16,2018-01-15,2018-01-15,39.0,Cohort,,Cross-Sectional,Observational,Completed,,Université de Sherbrooke,Robert Day,CIUSSS de l'Estrie - CHUS,Diagnostic Test,Canada,18.0,100.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03160482
2094,NCT03160482,thyroid nodule,Evaluation of PACE4 Isoforms as Biomarkers in Thyroid Cancer,PACE4 in Thyroid Cancer,Thyroid Nodule,2017-05-16,2018-01-15,2018-01-15,39.0,Cohort,,Cross-Sectional,Observational,Completed,,Université de Sherbrooke,Robert Day,CIUSSS de l'Estrie - CHUS,Diagnostic Test,Canada,18.0,100.0,[18-65]|[65 and more],Nodule,Nodule,https://clinicaltrials.gov/ct2/show/NCT03160482
2095,NCT03162627,thyroid neoplasms,"Evaluation of the Combination of Selumetinib and Olaparib in Endometrial, Ovarian and Other Solid Tumors With Ras Pathway Alterations, and Ovarian Tumors With PARP Resistance",Selumetinib and Olaparib in Solid Tumors,Malignant Neoplasm of Breast|Malignant Neoplasms of Digestive Organs|Malignant Neoplasms of Female Genital Organs|Malignant Neoplasms of Male Genital Organs|Malignant Neoplasms of Thyroid and Other Endocrine Glands,2017-05-18,2026-08-30,2026-08-30,90.0,,Parallel Assignment,,Interventional,Recruiting,Phase 1,M.D. Anderson Cancer Center,AstraZeneca|M.D. Anderson Cancer Center,University of Texas MD Anderson Cancer Center,Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03162627
2096,NCT03167385,thyroid neoplasms,The Effectiveness and Safety of Apatinib Mesylate in Locally Advanced/Metastatic Differentiated Thyroid Carcinoma: a Phase 2 Trial.,Phase 2 Trial of Apatinib Mesylate in Locally Advanced/Metastatic Differentiated Thyroid Carcinoma,Differentiated Thyroid Carcinoma,2017-05-24,2019-01-31,2020-12-31,20.0,,Single Group Assignment,,Interventional,Unknown status,Phase 2,Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Drug,China,18.0,75.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03167385
2097,NCT03170804,thyroid neoplasms,Registry for Genomic Profiling of Nodular Thyroid Disease and Thyroid Cancer,Genomic Profiling of Nodular Thyroid Disease and Thyroid Cancer,Thymic Carcinoma|Thyroid Cancer|Thyroid Diseases|Thyroid Nodule,2017-05-25,2018-01-01,2020-01-01,200.0,Cohort,,Prospective,Observational [Patient Registry],Unknown status,,Aventura Hospital and Medical Center,Aventura Hospital and Medical Center,Aventura Hospital and Medical Center,,United States,16.0,120.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03170804
2098,NCT03170804,thyroid nodule,Registry for Genomic Profiling of Nodular Thyroid Disease and Thyroid Cancer,Genomic Profiling of Nodular Thyroid Disease and Thyroid Cancer,Thymic Carcinoma|Thyroid Cancer|Thyroid Diseases|Thyroid Nodule,2017-05-25,2018-01-01,2020-01-01,200.0,Cohort,,Prospective,Observational [Patient Registry],Unknown status,,Aventura Hospital and Medical Center,Aventura Hospital and Medical Center,Aventura Hospital and Medical Center,,United States,16.0,120.0,[0-17]|[18-65]|[65 and more],Nodule,Nodule,https://clinicaltrials.gov/ct2/show/NCT03170804
2099,NCT03170960,thyroid neoplasms,A Phase 1b Dose-Escalation Study of Cabozantinib (XL184) Administered Alone or in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,Study of Cabozantinib in Combination With Atezolizumab to Subjects With Locally Advanced or Metastatic Solid Tumors,Castration-resistant Prostate Cancer|Colorectal Cancer|Differentiated Thyroid Cancer|Endometrial Cancer|Gastric Cancer|Gastroesophageal Junction Adenocarcinoma|Head and Neck Cancer|Hepatocellular Carcinoma|Lower Esophageal Cancer|Non-Small Cell Lung Cancer|Ovarian Cancer|Renal Cell Carcinoma|Triple Negative Breast Cancer|Urothelial Carcinoma,2017-05-23,2022-12-31,2022-12-31,1732.0,,Sequential Assignment,,Interventional,Active not recruiting,Phase 1/Phase 2,Exelixis,Exelixis,Exelixis Clinical Site #53|Exelixis Clinical Site #18|Exelixis Clinical Site #1|Exelixis Clinical Site #20|Exelixis Clinical Site #46|Exelixis Clinical Site #51|Exelixis Clinical Site #62|Exelixis Clinical Site #21|Exelixis Clinical Site #34|Exelixis Clinical Site #50|Exelixis Clinical Site #42|Exelixis Clinical Site #48|Exelixis Clinical Site #16|Exelixis Clinical Site #76|Exelixis Clinical Site #60|Exelixis Clinical Site #79|Exelixis Clinical Site #32|Exelixis Clinical Site #23|Exelixis Clinical Site #57|Exelixis Clinical Site #24|Exelixis Clinical Site #10|Exelixis Clinical Site #3|Exelixis Clinical Site #17|Exelixis Clinical Site #65|Exelixis Clinical Site #43|Exelixis Clinical Site #35|Exelixis Clinical Site #59|Exelixis Clinical Site #61|Exelixis Clinical Site #38|Exelixis Clinical Site #27|Exelixis Clinical Site #31|Exelixis Clinical Site #37|Exelixis Clinical Site #40|Exelixis Clinical Site #11|Exelixis Clinical Site #67|Exelixis Clinical Site #49|Exelixis Clinical Site #64|Exelixis Clinical Site #71|Exelixis Clinical Site #6|Exelixis Clinical Site #102|Exelixis Clinical Site #45|Exelixis Clinical Site #41|Exelixis Clinical Site #15|Exelixis Clinical Site #55|Exelixis Clinical Site #66|Exelixis Clinical Site #95|Exelixis Clinical Site #13|Exelixis Clinical Site #26|Exelixis Clinical Site #114|Exelixis Clinical Site #29|Exelixis Clinical Site #39|Exelixis Clinical Site #44|Exelixis Clinical Site #33|Exelixis Clinical Site #63|Exelixis Clinical Site #2|Exelixis Clinical Site #30|Exelixis Clinical Site #14|Exelixis Clinical Site #98|Exelixis Clinical Site #101|Exelixis Clinical Site #115|Exelixis Clinical Site #112|Exelixis Clinical Site #123|Exelixis Clinical Site #99|Exelixis Clinical Site #52|Exelixis Clinical Site #54|Exelixis Clinical Site #88|Exelixis Clinical Site #8|Exelixis Clinical Site #92|Exelixis Clinical Site #93|Exelixis Clinical Site #87|Exelixis Clinical Site #69|Exelixis Clinical Site #97|Exelixis Clinical Site #89|Exelixis Clinical Site #109|Exelixis Clinical Site #104|Exelixis Clinical Site #80|Exelixis Clinical Site #78|Exelixis Clinical Site #7|Exelixis Clinical Site #68|Exelixis Clinical Site #72|Exelixis Clinical Site #82|Exelixis Clinical Site #119|Exelixis Clinical Site #107|Exelixis Clinical Site #105|Exelixis Clinical Site #56|Exelixis Clinical Site #36|Exelixis Clinical Site #84|Exelixis Clinical Site #47|Exelixis Clinical Site #108|Exelixis Clinical Site #103|Exelixis Clinical Site #25|Exelixis Clinical Site #4|Exelixis Clinical Site #85|Exelixis Clinical Site #121|Exelixis Clinical Site #110|Exelixis Clinical Site #12|Exelixis Clinical Site #74|Exelixis Clinical Site #91|Exelixis Clinical Site #94|Exelixis Clinical Site #70|Exelixis Clinical Site #113|Exelixis Clinical Site #116|Exelixis Clinical Site #96|Exelixis Clinical Site #90|Exelixis Clinical Site #117|Exelixis Clinical Site #75|Exelixis Clinical Site #58|Exelixis Clinical Site #83|Exelixis Clinical Site #86|Exelixis Clinical Site #28|Exelixis Clinical Site #9|Exelixis Clinical Site #73|Exelixis Clinical Site #118|Exelixis Clinical Site #77|Exelixis Clinical Site #106|Exelixis Clinical Site #111|Exelixis Clinical Site #22|Exelixis Clinical Site #5|Exelixis Clinical Site #81|Exelixis Clinical Site #100|Exelixis Clinical Site #122|Exelixis Clinical Site #120|Exelixis Clinical Site #124|Exelixis Clinical Site #19,Drug|Drug|Drug|Drug,Australia|Belgium|France|Germany|Italy|Netherlands|Spain|United Kingdom|United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03170960
2100,NCT03174925,thyroid nodule,Elastography in Thyroid Nodule Evaluation,Ultrasound Elastography in Imaging Patients With Thyroid Nodules,Malignant Thyroid Gland Neoplasm|Thyroid Gland Nodule,2017-05-18,2018-02-13,2019-02-13,55.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,Stanford University,Stanford University,"Stanford University, School of Medicine",Device,United States,18.0,120.0,[18-65]|[65 and more],Nodule,Nodule,https://clinicaltrials.gov/ct2/show/NCT03174925
2101,NCT03174925,thyroid neoplasms,Elastography in Thyroid Nodule Evaluation,Ultrasound Elastography in Imaging Patients With Thyroid Nodules,Malignant Thyroid Gland Neoplasm|Thyroid Gland Nodule,2017-05-18,2018-02-13,2019-02-13,55.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,Stanford University,Stanford University,"Stanford University, School of Medicine",Device,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03174925
2102,NCT03176485,thyroid neoplasms,"Pilot Study to Evaluate the Signaling Pathway Modulation Demonstrated by Raf, MEK, and Kinase Inhibitors In Human Skin With or Without Solar Simulated Light","Evaluation of Pathway Modulation by Raf, MEK, & Kinase Inhibitors",Colon Cancer|Differentiated Thyroid Cancer|HCC|Hepatocellular Carcinoma|Melanoma|Metastatic Cancer|Metastatic Colon Cancer|Metastatic Melanoma|Renal Cell Carcinoma,2017-06-01,2018-11-01,2018-11-01,45.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,University of Arizona,University of Arizona,University of Arizona Cancer Center,Other,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03176485
2103,NCT03178253,hypothyroidism,Hypothyroidism in Patients With Type 2 Diabetes With Early Diabetic Nephropathy,Hypothyroidism in Patients With Type 2 Diabetes With Early Diabetic Nephropathy,Hypothyroidism in Diabetes,2017-06-03,2017-06-30,2018-06-30,100.0,Case-Control,,Prospective,Observational,Unknown status,,Assiut University,Assiut University,Maria Hamdy,,Egypt,40.0,70.0,[18-65]|[65 and more],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT03178253
2104,NCT03180892,hypothyroidism,Non-immune Related Hypothyroidism in Iodine Sufficient Area,Non-immune Related Hypothyroidism in Iodine Sufficient Area,Hypothyroidism,2017-06-02,2016-12-31,2016-12-31,6564.0,Cohort,,Other,Observational [Patient Registry],Completed,,Samsung Medical Center,Samsung Medical Center,,Other,,18.0,80.0,[18-65]|[65 and more],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT03180892
2105,NCT03181100,"thyroid carcinoma, anaplastic",Atezolizumab Combinations With Chemotherapy for Anaplastic and Poorly Differentiated Thyroid Carcinomas,Atezolizumab With Chemotherapy in Treating Patients With Anaplastic or Poorly Differentiated Thyroid Cancer,Metastatic Thyroid Gland Carcinoma|Poorly Differentiated Thyroid Gland Carcinoma|Stage IVA Thyroid Gland Anaplastic Carcinoma AJCC v8|Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8|Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8|Thyroid Gland Anaplastic Carcinoma|Unresectable Thyroid Gland Carcinoma,2017-06-06,2023-07-27,2023-07-27,50.0,,Parallel Assignment,,Interventional,Recruiting,Phase 2,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center|National Cancer Institute (NCI),M D Anderson Cancer Center,Drug|Biological|Drug|Drug|Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, anaplastic",https://clinicaltrials.gov/ct2/show/NCT03181100
2108,NCT03182699,hyperparathyroidism,Effect of Etelcalcetide on Cardiac Hypertrophy in Hemodialysis Patients: A Randomized Controlled Trial,Effect of Etelcalcetide on Cardiac Hypertrophy in Hemodialysis Patients,Chronic Kidney Disease Requiring Chronic Dialysis|Left Ventricular Hypertrophy|Secondary Hyperparathyroidism,2017-05-31,2019-12-20,2019-12-20,62.0,,Parallel Assignment,,Interventional,Completed,Phase 4,Medical University of Vienna,Amgen|Rainer Oberbauer,Medical University of Vienna|Wiener Dialysezentrum,Diagnostic Test|Diagnostic Test|Diagnostic Test|Diagnostic Test|Diagnostic Test,Austria,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT03182699
2110,NCT03183752,thyroid neoplasms,The Role of Insulin Resistance and the Effect of Metformin Use on Volume of Benign Thyroid Nodules,Insulin Resistance and Metformin Use on Volume of Benign Thyroid Nodules,Insulin Resistance|Thyroid Nodule,2017-06-08,2018-10-17,2019-04-17,28.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Hospital Universitário Clementino Fraga Filho,Hospital Universitário Clementino Fraga Filho,Patricia Santos,Drug|Drug,Brazil,18.0,80.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03183752
2111,NCT03183752,thyroid nodule,The Role of Insulin Resistance and the Effect of Metformin Use on Volume of Benign Thyroid Nodules,Insulin Resistance and Metformin Use on Volume of Benign Thyroid Nodules,Insulin Resistance|Thyroid Nodule,2017-06-08,2018-10-17,2019-04-17,28.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Hospital Universitário Clementino Fraga Filho,Hospital Universitário Clementino Fraga Filho,Patricia Santos,Drug|Drug,Brazil,18.0,80.0,[18-65]|[65 and more],Nodule,Nodule,https://clinicaltrials.gov/ct2/show/NCT03183752
2112,NCT03191643,thyroid neoplasms,18F-FDG PET-guided External Beam Radiotherapy in Iodine-refractory Differentiated Thyroid Cancer,PET-guided External Beam Radiotherapy in Differentiated Thyroid Cancer,Differentiated Thyroid Cancer,2017-06-15,2016-01-31,2016-01-31,16.0,Cohort,,Retrospective,Observational,Completed,,IRCCS Azienda Ospedaliero-Universitaria di Bologna,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,,,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03191643
2113,NCT03194087,hyperparathyroidism,the Study on Difference Prognostic for Low Parathyroid Hormone Levels and Severe Secondary Hyperparathyroidism in Hemodialysis Patients,the Study on Prognostic for Hemodialysis Patients,Secondary Hyperparathyroidism,2017-05-31,2019-01-01,2019-01-01,827.0,Cohort,,Prospective,Observational,Unknown status,,Beijing Friendship Hospital,Beijing Friendship Hospital,Beijing Friendship hospital,,China,18.0,80.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT03194087
2116,NCT03195296,goiter,T and B Cells Infiltrating Orbital Tissues in Graves' Orbitopathy (GO) and Their Relation With GO Features,T and B Cells in Graves' Orbitopathy,Graves Ophthalmopathy,2017-06-19,2017-05-31,2017-05-31,20.0,Case-Only,,Prospective,Observational,Completed,,University of Pisa,University of Pisa,,Other,,18.0,80.0,[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT03195296
2117,NCT03195296,graves ophthalmopathy,T and B Cells Infiltrating Orbital Tissues in Graves' Orbitopathy (GO) and Their Relation With GO Features,T and B Cells in Graves' Orbitopathy,Graves Ophthalmopathy,2017-06-19,2017-05-31,2017-05-31,20.0,Case-Only,,Prospective,Observational,Completed,,University of Pisa,University of Pisa,,Other,,18.0,80.0,[18-65]|[65 and more],Hyperthyroidism,Orbitopathy,https://clinicaltrials.gov/ct2/show/NCT03195296
2118,NCT03195296,graves disease,T and B Cells Infiltrating Orbital Tissues in Graves' Orbitopathy (GO) and Their Relation With GO Features,T and B Cells in Graves' Orbitopathy,Graves Ophthalmopathy,2017-06-19,2017-05-31,2017-05-31,20.0,Case-Only,,Prospective,Observational,Completed,,University of Pisa,University of Pisa,,Other,,18.0,80.0,[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT03195296
2119,NCT03195296,hyperthyroidism,T and B Cells Infiltrating Orbital Tissues in Graves' Orbitopathy (GO) and Their Relation With GO Features,T and B Cells in Graves' Orbitopathy,Graves Ophthalmopathy,2017-06-19,2017-05-31,2017-05-31,20.0,Case-Only,,Prospective,Observational,Completed,,University of Pisa,University of Pisa,,Other,,18.0,80.0,[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT03195296
2120,NCT03196518,thyroid neoplasms,PET Imaging of Thyroid Tissue Expressing Sodium-iodine Symporter Using the New Tracer 18F-tetrafluoroborate (18F-TFB),Study of PET Imaging With 18F-TFB in Patients With Thyroid Cancer,Thyroid Cancer,2017-06-21,2023-06-30,2023-06-30,5.0,,Single Group Assignment,,Interventional,Recruiting,Not Applicable,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Procedure|Other,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03196518
2121,NCT03199677,thyroid neoplasms,"An Exploratory Single-center, Open-label , Clinical Study of Apatinib in Patients With Local Progressive/Metastatic Refractory Thyroid Cancer",A Clinical Study of Apatinib in Patients With Local Progressive/Metastatic Refractory Thyroid Cancer,Refractory Cancer,2017-06-16,2018-06-30,2018-06-30,40.0,,Single Group Assignment,,Interventional,Unknown status,Phase 2,Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,"Cancer Hospital, Chinese Academy of Medical Sciences",Drug,China,18.0,75.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03199677
2122,NCT03202160,goiter,Cases of Goiter in Children Attending Assiut University Children Hospital,Causes of Goiter in Children Attending Assiut University Children Hospital,Goiter,2017-06-27,2019-04-15,2019-09-15,50.0,Case-Only,,Cross-Sectional,Observational,Unknown status,,Assiut University,Assiut University,,,,0.0,18.0,[0-17]|[18-65],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT03202160
2124,NCT03203668,hyperparathyroidism,Diagnostic Value of 18F-fluorocholine PET/CT Imaging in Localization of Hyperfunctioning Parathyroid Tissue in Hyperparathyroidism,18F-fluorocholine PET/CT Imaging in Hyperparathyroidism,Hyperparathyroidism,2017-04-17,2020-12-31,2020-12-31,1000.0,,Single Group Assignment,,Interventional,Unknown status,Not Applicable,University Medical Centre Ljubljana,Institute of Oncology Ljubljana|University Medical Centre Ljubljana,"Department for nuclear medicine, University medical centre Ljubljana",Radiation,Slovenia,18.0,120.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT03203668
2126,NCT03211117,"thyroid carcinoma, anaplastic",Phase 2 Study of Pembrolizumab Combined With Chemoradiation Therapy in Anaplastic Thyroid Cancer,"Pembrolizumab, Chemotherapy, and Radiation Therapy With or Without Surgery in Treating Patients With Anaplastic Thyroid Cancer",Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,2017-07-06,2018-02-12,2019-03-28,3.0,,Parallel Assignment,,Interventional,Completed,Phase 2,Mayo Clinic,Mayo Clinic|National Cancer Institute (NCI),Mayo Clinic,Drug|Drug|Radiation|Other|Biological|Procedure,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, anaplastic",https://clinicaltrials.gov/ct2/show/NCT03211117
2127,NCT03215095,thyroid neoplasms,"Radioiodine (RAI) in Combination With Durvalumab (Medi4736) for RAI-avid, Recurrent/Metastatic Thyroid Cancers",RAI Plus Immunotherapy for Recurrent/Metastatic Thyroid Cancers,Thyroid Cancer,2017-07-11,2023-07-31,2023-07-31,11.0,,Single Group Assignment,,Interventional,Active not recruiting,Early Phase 1,Memorial Sloan Kettering Cancer Center,AstraZeneca|MedImmune LLC|Memorial Sloan Kettering Cancer Center,Memoral Sloan Kettering Basking Ridge|Memoral Sloan Kettering Monmouth|Memorial Sloan Kettering Bergen|Memorial Sloan Kettering Commack|Memorial Sloan Kettering Westchester|Memorial Sloan Kettering Cancer Center|Memorial Sloan Kettering Nassau,Drug|Radiation,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03215095
2130,NCT03226171,hyperparathyroidism,Dose Adjustment Trial of SK-1403 in Hemodialysis Patients With Secondary Hyperparathyroidism,Dose Adjustment Trial of SK-1403 in Hemodialysis Patients With Secondary Hyperparathyroidism,Secondary Hyperparathyroidism,2017-07-20,2018-09-11,2018-09-11,58.0,,Single Group Assignment,,Interventional,Completed,Phase 2,"Sanwa Kagaku Kenkyusho Co., Ltd.","Sanwa Kagaku Kenkyusho Co., Ltd.",Investigational site (there may be other sites in this country),Drug,Japan,20.0,79.0,[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT03226171
2131,NCT03239769,thyroid neoplasms,"A Study to Evaluate and Compare the Surgical Outcomes, Aesthetic Effects and Incision Length of Different Access Procedures in Patients With DTC",Compare the Aesthetic Effect of Different Thyroidectomies,Differentiated Thyroid Carcinoma (DTC),2017-08-01,2015-06-01,2015-06-01,120.0,,Parallel Assignment,,Interventional,Completed,Not Applicable,Beijing Cancer Hospital,Beijing Cancer Hospital,,Procedure,,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03239769
2132,NCT03244956,thyroid neoplasms,Efficacy of a Selective MEK (Trametinib) and BRAFV600E (Dabrafenib) Inhibitors Associated With Radioactive Iodine (RAI) for the Treatment of Refractory Metastatic Differentiated Thyroid Cancer With RAS or BRAFV600E Mutation,Efficacy of MEK (Trametinib) and BRAFV600E (Dabrafenib) Inhibitors With Radioactive Iodine (RAI) for the Treatment of Refractory Metastatic Differentiated Thyroid Cancer,Metastatic Radioactive Iodine Refractory Thyroid Cancer Patients With RAS or BRAF Mutation,2017-08-07,2021-11-18,2022-12-31,40.0,,Parallel Assignment,,Interventional,Active not recruiting,Phase 2,"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Drug|Drug|Radiation|Drug,France,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03244956
2133,NCT03246659,thyroid neoplasms,Phase I Clinical Trial Using a Novel CCK-2/Gastrin Receptor-localizing Radiolabelled Peptide Probe for Personalized Diagnosis and Therapy of Patients With Progressive or Metastatic Medullary Thyroid Carcinoma,Radiolabelled CCK-2/Gastrin Receptor Analogue for Personalized Theranostic Strategy in Advanced MTC,Medullary Thyroid Carcinoma,2017-07-28,2018-11-30,2018-11-30,16.0,,Sequential Assignment,,Interventional,Completed,Phase 1,"Azienda Ospedaliero, Universitaria Pisana","Erasmus Medical Center|INRASTES, NCSR Demokritos, Athens, Greece|Jagiellonian University|Medical University Innsbruck|NATIONAL CENTRE FOR NUCLEAR RESEARCH, Poland|Paola Anna Erba|University Hospital Freiburg|University Medical Centre Ljubljana","Department of Nuclear Medicine, Innsbruck Medical University|Department of Nuclear Medicine, University Hospital Freiburg|Erasmus University Rotterdam|Department of Endocrinology, Jagiellonian University Medical College|Department of Nuclear Medicine, University Medical Centre Ljubljana",Drug|Drug,Austria|Germany|Netherlands|Poland|Slovenia,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03246659
2134,NCT03246958,thyroid neoplasms,"A Phase 2 Study of Nivolumab Plus Ipilimumab in RAI Refractory, Aggressive Thyroid Cancer With Exploratory Cohorts in Medullary and Anaplastic Thyroid Cancer",Nivolumab Plus Ipilimumab in Thyroid Cancer,Thyroid Cancer,2017-08-08,2022-12-31,2025-03-31,53.0,,Parallel Assignment,,Interventional,Active not recruiting,Phase 2,Dana-Farber Cancer Institute,Bristol-Myers Squibb|Dana-Farber Cancer Institute,Dana Farber Cancer Institute,Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT03246958
