,PMID,Chemical
2422,30351237,"receptors, thyrotropin)"
2423,29905024,heparin)
2424,29396246,anti-inflammatory agents)
2424,29396246,"antibiotics, antineoplastic)"
2424,29396246,mycophenolic acid)
2424,29396246,methylprednisolone)
2425,29053038,immunoglobulin g)
2425,29053038,immunologic factors)
2425,29053038,rituximab)
2427,30551199,antihypertensive agents)
2427,30551199,"prostaglandins, synthetic)"
2427,30551199,ec 2.7.1.
2427,30551199,proto-oncogene proteins c-akt)
2427,30551199,mitogen-activated protein kinases)
2427,30551199,bimatoprost)
2428,31366254,autoantibodies)
2428,31366254,"receptors, thyrotropin)"
2429,30407537,biomarkers)
2429,30407537,micrornas)
2431,30814476,antithyroid agents)
2431,30814476,ec 1.13.
2431,30814476,dimethylaniline monooxygenase (n-oxide forming))
2433,31036428,smoking cessation agents)
2435,29987165,"la protein, human)"
2435,29987165,phosphoproteins)
2441,30124607,immunoglobulin g)
2442,30027258,antithyroid agents)
2442,30027258,cholinesterase inhibitors)
2442,30027258,triiodothyronine)
2442,30027258,methimazole)
2442,30027258,thyrotropin)
2442,30027258,pyridostigmine bromide)
2442,30027258,thyroxine)
2443,29973096,"receptors, thyrotropin)"
2443,29973096,"ptpn22 protein, human)"
2443,29973096,"protein tyrosine phosphatase, non-receptor type 22)"
2443,29973096,ec 3.6.1.
2443,29973096,"interferon-induced helicase, ifih1)"
2444,29058307,autoantibodies)
2444,29058307,autoantigens)
2444,29058307,"receptors, thyrotropin)"
2446,31266487,rna splice sites)
2446,31266487,"slc26a4 protein, human)"
2446,31266487,sulfate transporters)
2446,31266487,"deafness, autosomal recessive 4"
2446,31266487,"deafness, autosomal recessive 40"
2446,31266487,pendred syndrome
2448,31267667,antithyroid agents)
2448,31267667,iodine radioisotopes)
2450,31669312,thyrotropin)
2450,31669312,thyroxine)
2451,31108563,antithyroid agents)
2451,31108563,hla antigens)
2455,30372544,"receptors, thyrotropin)"
2455,30372544,"hyperthyroidism, nonautoimmune"
2456,30197231,"anesthetics, intravenous)"
2456,30197231,hypnotics and sedatives)
2456,30197231,neuromuscular nondepolarizing agents)
2456,30197231,rocuronium)
2456,30197231,propofol)
2456,30197231,etomidate)
2457,29879187,"il1a protein, human)"
2457,29879187,interleukin-1alpha)
2458,29329570,"antibodies, anti-idiotypic)"
2458,29329570,autoantibodies)
2458,29329570,anti-iga)
2459,29302725,iodides)
2459,29302725,lugol's solution)
2460,29288501,antithyroid agents)
2460,29288501,"sodium chloride, dietary)"
2460,29288501,iodized salt)
2460,29288501,iodine)
2461,30900216,"angptl8 protein, human)"
2461,30900216,angiopoietin-like protein 8)
2461,30900216,angiopoietin-like proteins)
2461,30900216,biomarkers)
2461,30900216,peptide hormones)
2462,30673921,gonadal steroid hormones)
2462,30673921,hydroxymethylglutaryl-coa reductase inhibitors)
2462,30673921,hypoglycemic agents)
2462,30673921,immunologic factors)
2462,30673921,pcsk9 inhibitors)
2462,30673921,protease inhibitors)
2462,30673921,metformin)
2462,30673921,ec 3.4.21.
2463,30291728,iodine radioisotopes)
2464,29076917,contrast media)
2464,29076917,gadolinium)
2465,31580214,autoantibodies)
2465,31580214,"receptors, thyrotropin)"
2466,30911279,"biomarkers, tumor)"
2466,30911279,micrornas)
2466,30911279,proto-oncogene proteins c-ret)
2466,30911279,"ret protein, human)"
2466,30911279,"braf protein, human)"
2466,30911279,proto-oncogene proteins b-raf)
2466,30911279,ras proteins)
2467,31708111,ctla-4 antigen)
2467,31708111,"ctla4 protein, human)"
2467,31708111,"rna, messenger)"
2467,31708111,thyroid hormones)
2468,31033004,biomarkers)
2468,31033004,"cd14 protein, human)"
2468,31033004,"fcgr3b protein, human)"
2468,31033004,fc gamma receptor iib)
2468,31033004,gpi-linked proteins)
2468,31033004,lipopolysaccharide receptors)
2468,31033004,"receptors, igg)"
2469,30452592,cd40 antigens)
2469,30452592,lysophospholipids)
2469,30452592,sphingolipids)
2469,30452592,cd40 ligand)
2469,30452592,sphingosine 1-phosphate)
2469,30452592,ec 2.7.1.
2469,30452592,ec 3.1.4.
2469,30452592,sphingomyelin phosphodiesterase)
2469,30452592,acid ceramidase)
2469,30452592,sphingosine)
2470,29974826,biomarkers)
2470,29974826,cytokines)
2470,29974826,"havcr2 protein, human)"
2470,29974826,hepatitis a virus cellular receptor 2)
2471,31733941,"interferon-induced helicase, ifih1)"
2472,31557136,glucocorticoids)
2472,31557136,phosphates)
2472,31557136,calcium)
2472,31557136,methylprednisolone)
2474,31272958,"antibodies, monoclonal, humanized)"
2474,31272958,glucocorticoids)
2474,31272958,rituximab)
2474,31272958,somatostatin)
2474,31272958,cyclosporine)
2474,31272958,mycophenolic acid)
2474,31272958,azathioprine)
2474,31272958,teprotumumab)
2475,30549306,immunosuppressive agents)
2475,30549306,steroids)
2475,30549306,rituximab)
2475,30549306,prednisone)
2476,29624097,autoantibodies)
2476,29624097,"immunoglobulins, thyroid-stimulating)"
2476,29624097,"receptors, thyrotropin)"
2476,29624097,thyrotropin-binding inhibitory immunoglobulin)
2479,30659423,"antibodies, monoclonal)"
2479,30659423,"antibodies, monoclonal, humanized)"
2479,30659423,glucocorticoids)
2479,30659423,rituximab)
2479,30659423,cyclosporine)
2479,30659423,selenium)
2479,30659423,mycophenolic acid)
2479,30659423,tocilizumab)
2479,30659423,teprotumumab)
2479,30659423,methotrexate)
2480,30111225,antithyroid agents)
2480,30111225,methimazole)
2480,30111225,propylthiouracil)
2481,31407090,adrenergic beta-antagonists)
2481,31407090,antithyroid agents)
2481,31407090,iodides)
2481,31407090,lugol's solution)
2482,30771152,ctla-4 antigen)
2482,30771152,"foxp3 protein, human)"
2482,30771152,forkhead transcription factors)
2483,30445529,"antigens, cd34)"
2483,30445529,autoantigens)
2483,30445529,cytokines)
2483,30445529,inflammation mediators)
2484,29589999,hyaluronic acid)
2484,29589999,metformin)
2484,29589999,phenformin)
2484,29589999,amp-activated protein kinases)
2485,29526990,autoantibodies)
2485,29526990,"receptors, thyrotropin)"
2486,29053503,antineoplastic agents)
2486,29053503,thalidomide)
2486,29053503,lenalidomide)
2490,29631510,immunoglobulins)
2490,29631510,"receptors, thyrotropin)"
2490,29631510,"receptor, igf type 1)"
2490,29631510,proto-oncogene proteins c-akt)
2491,30246383,cytokines)
2492,29941778,glutens)
2493,29901603,antithyroid agents)
2493,29901603,methimazole)
2493,29901603,thyrotropin)
2494,29168473,"antigens, cd)"
2494,29168473,biomarkers)
2494,29168473,blood glucose)
2494,29168473,"drugs, chinese herbal)"
2494,29168473,hypoglycemic agents)
2494,29168473,"insr protein, human)"
2494,29168473,"receptor, insulin)"
2495,30576385,"ccl2 protein, human)"
2495,30576385,chemokine ccl2)
2495,30576385,cytokine tweak)
2495,30576385,interleukin-1beta)
2495,30576385,interleukin-6)
2495,30576385,interleukin-8)
2495,30576385,"receptors, tumor necrosis factor, type 1)"
2495,30576385,"receptors, tumor necrosis factor, type 1i)"
2495,30576385,"tnfsf12 protein, human)"
2495,30576385,tweak receptor)
2495,30576385,tumor necrosis factor-alpha)
2496,29553126,cathelicidins)
2496,29553126,"receptors, calcitriol)"
2496,29553126,"vdr protein, human)"
2496,29553126,calcitriol)
2498,30973094,cytokines)
2498,30973094,hmgb1 protein)
2498,30973094,interleukin-1beta)
2498,30973094,receptor for advanced glycation end products)
2498,30973094,tumor necrosis factor-alpha)
2499,30391932,"foxp3 protein, human)"
2499,30391932,forkhead transcription factors)
2499,30391932,"mirn23a microrna, human)"
2499,30391932,micrornas)
2501,31536596,"acta2 protein, human)"
2501,31536596,actins)
2501,31536596,calcium-binding proteins)
2501,31536596,microfilament proteins)
2501,31536596,proton pump inhibitors)
2501,31536596,"receptors, aryl hydrocarbon)"
2501,31536596,transforming growth factor beta)
2501,31536596,calponin)
2501,31536596,lansoprazole)
2501,31536596,collagen)
2501,31536596,esomeprazole)
2502,30519958,biomarkers)
2502,30519958,glucocorticoids)
2503,29174716,ctla-4 antigen)
2503,29174716,"ctla4 protein, human)"
2503,29174716,hla-drb1 chains)
2504,29021480,blood glucose)
2504,29021480,carbamates)
2504,29021480,hypoglycemic agents)
2504,29021480,isoindoles)
2504,29021480,piperidines)
2504,29021480,repaglinide)
2504,29021480,mitiglinide)
2504,29021480,methylprednisolone)
2506,29256181,antioxidants)
2506,29256181,beta carotene)
2506,29256181,vitamin a)
2506,29256181,vitamin e)
2507,30515677,blood glucose)
2507,30515677,c-peptide)
2507,30515677,glycated hemoglobin a)
2507,30515677,insulin)
2507,30515677,thyroid hormones)
2508,29804271,"antibodies, monoclonal)"
2508,29804271,"antibodies, monoclonal, humanized)"
2508,29804271,durvalumab)
2508,29804271,tremelimumab)
2509,31140459,"immunoglobulins, thyroid-stimulating)"
2509,31140459,thyrotropin-binding inhibitory immunoglobulin)
2509,31140459,testosterone)
2509,31140459,thyroxine)
2509,31140459,cortisone)
2510,30961340,antithyroid agents)
2510,30961340,methimazole)
2511,29966154,autoantibodies)
2511,29966154,autoantigens)
2511,29966154,iron-binding proteins)
2511,29966154,anti-thyroglobulin)
2511,29966154,homocysteine)
2511,29966154,"tpo protein, human)"
2511,29966154,iodide peroxidase)
2513,29549956,thyroid hormones)
2513,29549956,thyrotropin)
2516,31062662,autoantibodies)
2516,31062662,"immunoglobulins, thyroid-stimulating)"
2516,31062662,"receptors, thyrotropin)"
2516,31062662,cyclic amp)
2517,31809586,autoantibodies)
2517,31809586,"il10 protein, human)"
2517,31809586,"receptors, thyrotropin)"
2517,31809586,"tshr protein, human)"
2517,31809586,interleukin-10)
2518,29656212,"abcc11 protein, human)"
2518,29656212,"abcc6 protein, human)"
2518,29656212,atp-binding cassette transporters)
2518,29656212,calgranulin b)
2518,29656212,cytokines)
2518,29656212,multidrug resistance-associated proteins)
2518,29656212,"rna, messenger)"
2518,29656212,"tlr4 protein, human)"
2518,29656212,toll-like receptor 4)
2519,30624501,autoantibodies)
2519,30624501,"immunoglobulins, thyroid-stimulating)"
2519,30624501,"receptors, thyrotropin)"
2519,30624501,thyrotropin-binding inhibitory immunoglobulin)
2519,30624501,triiodothyronine)
2519,30624501,thyrotropin)
2519,30624501,thyroxine)
2520,30222515,"antibodies, viral)"
2520,30222515,epstein-barr virus encoded rna 1)
2520,30222515,immunoglobulin g)
2520,30222515,"rna, viral)"
2522,31675401,dermatologic agents)
2522,31675401,glucocorticoids)
2522,31675401,immunosuppressive agents)
2522,31675401,pentoxifylline)
2523,30503299,troponin i)
2525,29233566,autoantibodies)
2525,29233566,b7-2 antigen)
2525,29233566,epitopes)
2526,28150342,antithyroid agents)
2526,28150342,glucocorticoids)
2526,28150342,ointments)
2526,28150342,carbimazole)
2528,30938100,"ptpn22 protein, human)"
2528,30938100,"protein tyrosine phosphatase, non-receptor type 22)"
2529,30882687,insulin-like growth factor i)
2529,30882687,thyrotropin)
2529,30882687,thyroxine)
2530,30724135,azo compounds)
2530,30724135,indoles)
2530,30724135,lipids)
2530,30724135,"receptors, fibroblast growth factor)"
2530,30724135,fibroblast growth factor 2)
2530,30724135,becaplermin)
2530,30724135,"receptors, platelet-derived growth factor)"
2530,30724135,nintedanib)
2530,30724135,oil red o)
2530,30724135,dasatinib)
2531,30507949,antihypertensive agents)
2532,29780146,"antibodies, antineutrophil cytoplasmic)"
2532,29780146,antithyroid agents)
2532,29780146,propylthiouracil)
2532,29780146,prednisolone)
2533,30837349,catecholamines)
2533,30837349,gallium radioisotopes)
2533,30837349,organometallic compounds)
2533,30837349,radiopharmaceuticals)
2533,30837349,metanephrine)
2533,30837349,gallium-68)
2533,30837349,gallium ga 68 dotatate)
2534,30679116,viscosupplements)
2534,30679116,hyaluronic acid)
2535,30118396,"epitopes, t-lymphocyte)"
2536,29800560,lymphocyte function-associated antigen-1)
2536,29800560,intercellular adhesion molecule-1)
2536,29800560,glycogen synthase kinase 3 beta)
2537,29454070,"il1b protein, human)"
2537,29454070,"il1rn protein, human)"
2537,29454070,interleukin 1 receptor antagonist protein)
2537,29454070,interleukin-1beta)
2538,30090014,"adipoq protein, human)"
2538,30090014,adiponectin)
2538,30090014,"anti-inflammatory agents, non-steroidal)"
2538,30090014,ccaat-enhancer-binding proteins)
2538,30090014,"cebpa protein, human)"
2538,30090014,"fabp4 protein, human)"
2538,30090014,fatty acid-binding proteins)
2538,30090014,"il1b protein, human)"
2538,30090014,"il6 protein, human)"
2538,30090014,interleukin-1beta)
2538,30090014,interleukin-6)
2538,30090014,ppar gamma)
2538,30090014,chitosan)
2538,30090014,cyclooxygenase 2)
2538,30090014,"ptgs2 protein, human)"
2538,30090014,proto-oncogene proteins c-akt)
2538,30090014,map kinase kinase 4)
2538,30090014,dinoprostone)
2539,31328557,interleukin-6)
2539,31328557,"per3 protein, human)"
2539,31328557,period circadian proteins)
2539,31328557,tumor necrosis factor-alpha)
2540,31264142,autoantibodies)
2540,31264142,biomarkers)
2541,29970608,anti-bacterial agents)
2541,29970608,anti-retroviral agents)
2541,29970608,doxycycline)
2542,29269558,antithyroid agents)
2542,29269558,iodine radioisotopes)
2542,29269558,carbimazole)
2542,29269558,thyroxine)
2543,31411123,iodine radioisotopes)
2543,31411123,iodine-131)
2543,31411123,triiodothyronine)
2543,31411123,thyrotropin)
2543,31411123,thyroxine)
2544,31088643,antibodies)
2544,31088643,antigens)
2544,31088643,autoantibodies)
2544,31088643,carcinoembryonic antigen)
2544,31088643,immunoglobulin g)
2544,31088643,"immunoglobulins, thyroid-stimulating)"
2544,31088643,"receptors, thyrotropin)"
2544,31088643,thyrotropin)
2544,31088643,acetylcholine)
2544,31088643,thyroxine)
2545,29666119,"adipoq protein, human)"
2545,29666119,adiponectin)
2545,29666119,biomarkers)
2545,29666119,ppar gamma)
2545,29666119,"has2 protein, human)"
2545,29666119,hyaluronan synthases)
2546,29729713,"ptpn22 protein, human)"
2546,29729713,"protein tyrosine phosphatase, non-receptor type 22)"
2547,31399042,adiponectin)
2547,31399042,cytokines)
2547,31399042,ppar gamma)
2548,31034586,autoantibodies)
2548,31034586,b-cell activating factor)
2548,31034586,interferon-alpha)
2548,31034586,"tnfsf13b protein, human)"
2548,31034586,osteopontin)
2548,31034586,thyrotropin)
2548,31034586,thyroxine)
2549,30208979,autoantigens)
2549,30208979,"immunoglobulins, thyroid-stimulating)"
2549,30208979,iron-binding proteins)
2549,30208979,"sodium chloride, dietary)"
2549,30208979,iodized salt)
2549,30208979,iodine)
2549,30208979,iron)
2549,30208979,"tpo protein, human)"
2549,30208979,iodide peroxidase)
2549,30208979,selenium)
2550,30106633,"antibodies, antinuclear)"
2550,30106633,antithyroid agents)
2550,30106633,propylthiouracil)
2550,30106633,peroxidase)
2550,30106633,myeloblastin)
2552,31622470,"mirn146 microrna, human)"
2552,31622470,"mirn155 microrna, human)"
2552,31622470,micrornas)
2552,31622470,"rna, messenger)"
2552,31622470,"receptors, thyrotropin)"
2552,31622470,proto-oncogene proteins c-akt)
2552,31622470,bromodeoxyuridine)
2553,31091046,biomarkers)
2553,31091046,glycosaminoglycans)
2553,31091046,"receptors, thyrotropin)"
2553,31091046,tissue inhibitor of metalloproteinase-1)
2553,31091046,ec 3.4.24.
2553,31091046,"mmp1 protein, human)"
2553,31091046,matrix metalloproteinase 1)
2554,30684216,"antibodies, monoclonal)"
2554,30684216,"immunoglobulins, thyroid-stimulating)"
2554,30684216,"receptors, thyrotropin)"
2554,30684216,thyrotropin-binding inhibitory immunoglobulin)
2555,31439560,antiviral agents)
2555,31439560,acyclovir)
2556,31384956,biomarkers)
2556,31384956,"fgf23 protein, human)"
2556,31384956,minerals)
2556,31384956,parathyroid hormone)
2556,31384956,vitamin d)
2556,31384956,phosphorus)
2556,31384956,fibroblast growth factors)
2556,31384956,fibroblast growth factor-23)
2556,31384956,25-hydroxyvitamin d)
2556,31384956,calcium)
2557,30725486,autoantibodies)
2557,30725486,n(1)-acetylspermidine)
2557,30725486,n'-acetylspermine)
2557,30725486,spermine)
2557,30725486,spermidine)
2558,29709954,"biomarkers, tumor)"
2558,29709954,carcinoembryonic antigen)
2558,29709954,thyroid hormones)
2558,29709954,thyroxine)
2559,31527321,antithyroid agents)
2559,31527321,aromatase inhibitors)
2559,31527321,bone density conservation agents)
2559,31527321,collagen type 1)
2559,31527321,"fgf23 protein, human)"
2559,31527321,parathyroid hormone)
2559,31527321,peptides)
2559,31527321,collagen type 1 trimeric cross-linked peptide)
2559,31527321,potassium iodide)
2559,31527321,denosumab)
2559,31527321,methimazole)
2559,31527321,fibroblast growth factors)
2559,31527321,zoledronic acid)
2559,31527321,fibroblast growth factor-23)
2559,31527321,"acp5 protein, human)"
2559,31527321,tartrate-resistant acid phosphatase)
2560,30506426,glucocorticoids)
2560,30506426,methylprednisolone)
2561,29526119,autoantibodies)
2561,29526119,tumor necrosis factor-alpha)
2562,30796769,"hopx protein, human)"
2562,30796769,homeodomain proteins)
2562,30796769,tumor suppressor proteins)
2563,31750736,"cxcl9 protein, human)"
2563,31750736,chemokine cxcl9)
2563,31750736,ec 3.5.
2563,31750736,ec 3.5.1.
2564,30644687,"antibodies, antineutrophil cytoplasmic)"
2564,30644687,antithyroid agents)
2564,30644687,propylthiouracil)
2565,29864750,"antibodies, antinuclear)"
2565,29864750,antithyroid agents)
2565,29864750,autoantibodies)
2565,29864750,rheumatoid factor)
2565,29864750,thyroxine)
2566,31359380,"icam1 protein, human)"
2566,31359380,intercellular adhesion molecule-1)
2567,31127272,"receptors, thyrotropin)"
2567,31127272,beta-arrestin 1)
2567,31127272,"receptor, igf type 1)"
2568,30133352,autoantibodies)
2568,30133352,immunoglobulin g)
2568,30133352,immunoglobulin m)
2568,30133352,"receptors, thyrotropin)"
2568,30133352,estradiol)
2569,30589937,autoantigens)
2569,30589937,iron-binding proteins)
2569,30589937,"spp1 protein, human)"
2569,30589937,osteopontin)
2569,30589937,"tpo protein, human)"
2569,30589937,iodide peroxidase)
2569,30589937,"blk protein, human)"
2569,30589937,src-family kinases)
2570,29791034,"biomarkers, tumor)"
2570,29791034,neprilysin)
2571,29738593,cross-linking reagents)
2571,29738593,iodine radioisotopes)
2571,29738593,photosensitizing agents)
2571,29738593,"receptors, thyroid hormone)"
2571,29738593,collagen)
2572,28725932,"elovl2 protein, human)"
2572,28725932,"fhl2 protein, human)"
2572,28725932,genetic markers)
2572,28725932,intracellular signaling peptides and proteins)
2572,28725932,"klf14 protein, human)"
2572,28725932,kruppel-like transcription factors)
2572,28725932,lim-homeodomain proteins)
2572,28725932,membrane proteins)
2572,28725932,metalloproteins)
2572,28725932,muscle proteins)
2572,28725932,sp transcription factors)
2572,28725932,"trim59 protein, human)"
2572,28725932,transcription factors)
2572,28725932,tripartite motif proteins)
2572,28725932,ec 2.3.1.
2573,30067105,antibodies)
2573,30067105,antithyroid agents)
2573,30067105,"receptors, thyrotropin)"
2573,30067105,methimazole)
2573,30067105,carbimazole)
2574,31573408,antithyroid agents)
2574,31573408,methimazole)
2574,31573408,propylthiouracil)
2574,31573408,alanine transaminase)
2574,31573408,bilirubin)
2575,30174139,proto-oncogene proteins c-ret)
2575,30174139,"ret protein, human)"
2577,29738594,cross-linking reagents)
2577,29738594,iodine radioisotopes)
2577,29738594,photosensitizing agents)
2577,29738594,thyrotropin)
2577,29738594,collagen)
2579,31105122,chlorides)
2579,31105122,"slc12a3 protein, human)"
2579,31105122,"solute carrier family 12, member 3)"
2579,31105122,sodium)
2579,31105122,potassium)
2580,30201436,antagomirs)
2580,30201436,dna-binding proteins)
2580,30201436,"egr1 protein, human)"
2580,30201436,early growth response protein 1)
2580,30201436,"mirn183 microrna, human)"
2580,30201436,"mirn96 microrna, human)"
2580,30201436,micrornas)
2580,30201436,"rag2 protein, mouse)"
2580,30201436,proto-oncogene proteins c-akt)
2580,30201436,pten phosphohydrolase)
2581,31434818,autoantigens)
2581,31434818,hla-dr antigens)
2581,31434818,immunoglobulin g)
2581,31434818,"receptors, thyrotropin)"
2582,30599051,iodine radioisotopes)
2584,29956299,thyroxine)
2585,30936024,gastrointestinal agents)
2585,30936024,immunosuppressive agents)
2585,30936024,tumor necrosis factor inhibitors)
2591,29396842,trace elements)
2592,30175973,"biomarkers, tumor)"
2592,30175973,"rna, long noncoding)"
2592,30175973,tumor suppressor proteins)
2592,30175973,"long non-coding rna casc2, human)"
2593,29724875,antibodies)
2593,29724875,antithyroid agents)
2593,29724875,"receptors, n-methyl-d-aspartate)"
2593,29724875,methimazole)
2601,31155540,thyroid hormones)
2602,29197093,"fndc5 protein, human)"
2602,29197093,fibronectins)
2604,28627279,antibodies)
2604,28627279,autoantibodies)
2605,31670631,parathyroid hormone)
2605,31670631,calcium)
2607,29409458,keratin-19)
2607,29409458,"receptors, estrogen)"
2609,31178475,"codon, nonsense)"
2609,31178475,thyroglobulin)
2609,31178475,thyroxine)
2610,31292912,calcitonin)
2611,31127647,circulating tumor dna)
2611,31127647,tumor suppressor proteins)
2611,31127647,ec 2.1.1.
2611,31127647,dna (cytosine-5-)-methyltransferase 1)
2611,31127647,"dnmt1 protein, human)"
2611,31127647,"mgmt protein, human)"
2611,31127647,ec 6.5.1.
2612,31255196,autoantibodies)
2615,30884127,"biomarkers, tumor)"
2615,30884127,"cep78 protein, human)"
2615,30884127,cell cycle proteins)
2615,30884127,nerve tissue proteins)
2615,30884127,"rna, messenger)"
2615,30884127,"wdr62 protein, human)"
2616,30739612,"sodium chloride, dietary)"
2616,30739612,iodized salt)
2616,30739612,iodine)
2617,29459090,"teratoma, ovarian"
2618,31430255,autoantigens)
2618,31430255,biomarkers)
2618,31430255,iron-binding proteins)
2618,31430255,"nkx2-1 protein, human)"
2618,31430255,pax8 transcription factor)
2618,31430255,symporters)
2618,31430255,"tg protein, human)"
2618,31430255,thyroid nuclear factor 1)
2618,31430255,sodium-iodide symporter)
2618,31430255,thyroglobulin)
2618,31430255,"tpo protein, human)"
2618,31430255,iodide peroxidase)
2621,30974469,radiopharmaceuticals)
2621,30974469,sodium pertechnetate tc 99m)
2622,31412223,parathyroid hormone)
2622,31412223,calcitonin)
2624,31267862,antioxidants)
2624,31267862,"keap1 protein, human)"
2624,31267862,kelch-like ech-associated protein 1)
2624,31267862,nf-e2-related factor 2)
2624,31267862,"nfe2l2 protein, human)"
2624,31267862,phytochemicals)
2626,31297898,lithium compounds)
2626,31297898,triiodothyronine)
2626,31297898,thyrotropin)
2626,31297898,thyroxine)
2628,30665612,coloring agents)
2628,30665612,indocyanine green)
2629,31645594,hypoxanthine phosphoribosyltransferase)
2629,31645594,glucuronidase)
2630,29354015,triiodothyronine)
2630,29354015,thyrotropin)
2630,29354015,thyroxine)
2633,30949714,iodine radioisotopes)
2636,30903785,pesticides)
2638,31670642,c-reactive protein)
2639,30732901,"sodium chloride, dietary)"
2639,30732901,iodized salt)
2639,30732901,iodine)
2641,30358496,"sodium chloride, dietary)"
2641,30358496,iodized salt)
2641,30358496,iodine)
2642,30378716,biomarkers)
2642,30378716,"foxq1 protein, human)"
2642,30378716,forkhead transcription factors)
2643,30568076,autoantibodies)
2643,30568076,thyroglobulin)
2643,30568076,iodide peroxidase)
2646,29770856,papillary thyroid microcarcinoma
2647,31237859,vascular endothelial growth factor a)
2648,29112639,glucocorticoids)
2648,29112639,thyroxine)
2648,29112639,prednisone)
2649,28224254,"sodium chloride, dietary)"
2649,28224254,iodized salt)
2649,28224254,iodine)
2650,31445060,pesticides)
2652,31847529,"biomarkers, tumor)"
2652,31847529,"ace protein, human)"
2652,31847529,peptidyl-dipeptidase a)
2652,31847529,"ace2 protein, human)"
2652,31847529,angiotensin-converting enzyme 2)
2653,30773379,technetium)
2656,30734891,thyrotropin)
2656,30734891,thyroxine)
2658,29169190,calcitonin)
2658,29169190,"thyroid cancer, medullary"
2659,32312925,radioisotopes)
2659,32312925,iodine)
2660,30762830,iodine radioisotopes)
2660,30762830,iodine-124)
2660,30762830,radiopharmaceuticals)
2661,31589645,thyroid hormones)
2661,31589645,potassium iodide)
2662,29406334,"biomarkers, tumor)"
2662,29406334,hmga2 protein)
2662,29406334,"hmga2 protein, human)"
2663,29396967,thyrotropin)
2663,29396967,thyroxine)
2666,31232941,"biomarkers, tumor)"
2666,31232941,"mirn222 microrna, human)"
2666,31232941,micrornas)
2667,31170368,"sodium chloride, dietary)"
2667,31170368,iodine)
2673,29695560,"bad protein, human)"
2673,29695560,proto-oncogene proteins c-bcl-2)
2673,29695560,bcl-2-associated x protein)
2673,29695560,bcl-associated death protein)
2674,29720101,"tg protein, human)"
2674,29720101,thyroglobulin)
2675,31326901,thyroid hormone receptors beta)
2675,31326901,thyroid hormones)
2676,30980188,ec 3.5.1.
2676,30980188,resveratrol)
2677,30666977,iodine)
2678,31169246,biomarkers)
2679,30015662,sodium pertechnetate tc 99m)
2680,29356740,fluorocholine)
2680,29356740,choline)
2681,30610567,steroidogenic factor 1)
2681,30610567,transcription factor pit-1)
2681,30610567,human growth hormone)
2681,30610567,prolactin)
2681,30610567,thyrotropin)
2683,30707410,biomarkers)
2683,30707410,thyroid hormone receptors beta)
2683,30707410,thyroid hormones)
2685,31770810,anti-bacterial agents)
2685,31770810,c-reactive protein)
2688,31489070,neurosarcoidosis
2689,30450534,thyrotropin)
2691,31243250,immunoglobulin g)
2692,30048169,parathyroid hormone)
2692,30048169,calcium)
2695,30919068,"anesthetics, local)"
2695,30919068,lidocaine)
2702,30245775,anti-inflammatory agents)
2702,30245775,antioxidants)
2702,30245775,protective agents)
2702,30245775,ortho-aminobenzoates)
2702,30245775,avenanthramide-2c)
2703,30666981,drinking water)
2703,30666981,fluorides)
2704,29239041,familial medullary thyroid carcinoma
2708,29529424,"sodium chloride, dietary)"
2708,29529424,iodized salt)
2708,29529424,thyrotropin)
2708,29529424,iodine)
2711,31396854,histones)
2712,30197365,thyroglobulin)
2715,30252648,blood glucose)
2715,30252648,insulin)
2715,30252648,lipids)
2715,30252648,thyrotropin)
2717,28771678,"antibodies, antinuclear)"
2717,28771678,ss-a antibodies)
2717,28771678,annular erythema
2720,30412107,amines)
2720,30412107,anticonvulsants)
2720,30412107,cyclohexanecarboxylic acids)
2720,30412107,gamma-aminobutyric acid)
2720,30412107,phenytoin)
2720,30412107,gabapentin)
2720,30412107,thyroxine)
2725,31133065,"sodium chloride, dietary)"
2725,31133065,iodized salt)
2725,31133065,thyrotropin)
2725,31133065,iodine)
2725,31133065,thyroxine)
2726,31820353,iodides)
2726,31820353,iodine)
2727,31671395,chorionic gonadotropin)
2727,31671395,thyrotropin)
2729,29886838,"biomarkers, tumor)"
2730,31409088,"dicer1 protein, human)"
2730,31409088,ribonuclease iii)
2730,31409088,dead-box rna helicases)
2731,31238185,indium radioisotopes)
2731,31238185,somatostatin)
2731,31238185,indium-111)
2731,31238185,pentetreotide)
2733,30259504,vitamin d)
2734,31400012,reactive oxygen species)
2734,31400012,"sodium chloride, dietary)"
2734,31400012,iodine)
2735,29851122,iodine)
2736,31468286,"antigens, neoplasm)"
2736,31468286,micrornas)
2736,31468286,"long non-coding rna hotairm1, human)"
2736,31468286,"prostate cancer antigen 3, human)"
2737,30413933,"id1 protein, human)"
2737,30413933,inhibitor of differentiation protein 1)
2738,31215885,thyroid hormones)
2738,31215885,triiodothyronine)
2739,30681972,thyroid hormones)
2740,29798143,"cthrc1 protein, human)"
2740,29798143,cadherins)
2740,29798143,extracellular matrix proteins)
2740,29798143,vimentin)
2742,30873570,materia medica)
2743,30141452,autoantibodies)
2743,30141452,thyrotropin)
2744,29552789,"tert protein, human)"
2744,29552789,telomerase)
2745,31610911,"dicer1 protein, human)"
2745,31610911,ribonuclease iii)
2745,31610911,dead-box rna helicases)
2749,30387163,calcium-regulating hormones and agents)
2749,30387163,cholecalciferol)
2750,30306604,selenomethionine)
2751,31371218,calcium)
2753,29466241,adrenal cortex hormones)
2753,29466241,iodine)
