,PMID,Publication_type
2445,12961023,english abstract
2446,12961023,journal article
2447,12961023,review
2448,12717348,clinical trial
2449,12717348,journal article
2450,14629811,journal article
2451,15250625,journal article
2452,14652771,case reports
2453,14652771,journal article
2454,12729479,journal article
2455,11949222,english abstract
2456,11949222,journal article
2457,11949222,review
2458,12416671,journal article
2459,12112826,journal article
2460,11889153,journal article
2461,11889153,"research support, non-u.s. gov't"
2462,12487774,journal article
2463,12487774,review
2464,12487774,systematic review
2465,11887342,case reports
2466,11887342,english abstract
2467,11887342,journal article
2468,11887342,review
2469,12964969,journal article
2470,11958667,case reports
2471,11958667,journal article
2472,11958667,review
2473,15125404,journal article
2474,12510947,journal article
2475,12510947,multicenter study
2476,11857916,english abstract
2477,11857916,journal article
2478,11857916,review
2479,12077843,journal article
2480,14529228,journal article
2481,15168977,case reports
2482,15168977,journal article
2483,12548112,journal article
2484,12548112,"research support, non-u.s. gov't"
2485,11751065,journal article
2486,11751065,"research support, non-u.s. gov't"
2487,15179757,english abstract
2488,15179757,journal article
2489,12582024,comparative study
2490,12582024,journal article
2491,12582024,"research support, non-u.s. gov't"
2492,12582024,"research support, u.s. gov't, p.h.s."
2493,12369561,journal article
2494,12137681,journal article
2495,12137681,review
2496,12137681,systematic review
2497,12117262,journal article
2498,12476839,english abstract
2499,12476839,journal article
2500,14640171,journal article
2501,12903599,case reports
2502,12903599,english abstract
2503,12903599,journal article
2504,12790077,journal article
2505,12800542,journal article
2506,12800542,review
2507,12762641,journal article
2508,12762641,review
2509,12061199,case reports
2510,12061199,english abstract
2511,12061199,journal article
2512,12061199,"research support, non-u.s. gov't"
2513,12459031,journal article
2514,12229141,case reports
2515,12229141,english abstract
2516,12229141,journal article
2517,11980291,case reports
2518,11980291,journal article
2519,14759078,case reports
2520,14759078,journal article
2521,14564827,english abstract
2522,14564827,journal article
2523,14564827,review
2524,12056645,journal article
2525,12071367,journal article
2526,12071367,"research support, non-u.s. gov't"
2527,12695381,case reports
2528,12695381,journal article
2529,12427614,case reports
2530,12427614,journal article
2531,11750859,journal article
2532,11750859,review
2533,14616561,clinical trial
2534,14616561,journal article
2535,12970283,journal article
2536,12970283,"research support, non-u.s. gov't"
2537,12006711,case reports
2538,12006711,journal article
2539,12404891,english abstract
2540,12404891,journal article
2541,14750286,english abstract
2542,14750286,journal article
2543,14750286,review
2544,11841953,journal article
2545,11841953,review
2546,12236036,english abstract
2547,12236036,journal article
2548,12641636,journal article
2549,12641636,"research support, non-u.s. gov't"
2550,12843884,english abstract
2551,12843884,journal article
2552,12843884,review
2553,12036412,journal article
2554,11777887,case reports
2555,11777887,journal article
2556,12717308,case reports
2557,12717308,english abstract
2558,12717308,journal article
2559,12717308,review
2560,12911174,case reports
2561,12911174,journal article
2562,15227976,comparative study
2563,15227976,journal article
2564,12940446,case reports
2565,12940446,journal article
2566,12971227,case reports
2567,12971227,journal article
2568,12533525,journal article
2569,12431043,comparative study
2570,12431043,journal article
2571,12927435,journal article
2572,12927435,review
2573,12687275,comparative study
2574,12687275,journal article
2575,15244202,journal article
2576,14971282,english abstract
2577,14971282,journal article
2578,14710798,case reports
2579,14710798,journal article
2580,12914728,journal article
2581,14761598,english abstract
2582,14761598,journal article
2583,12675505,journal article
2584,12675505,review
2585,12855016,comparative study
2586,12855016,journal article
2587,12112852,journal article
2588,14629801,journal article
2589,12221871,comparative study
2590,12221871,english abstract
2591,12221871,journal article
2592,14608741,case reports
2593,14608741,journal article
2594,14608741,review
2595,12660626,english abstract
2596,12660626,journal article
2597,14760996,journal article
2598,14760996,"research support, non-u.s. gov't"
2599,12360381,comparative study
2600,12360381,journal article
2601,12360381,review
2602,12181998,english abstract
2603,12181998,journal article
2604,12001695,journal article
2605,12001695,"research support, non-u.s. gov't"
2606,12039696,journal article
2607,11919333,journal article
2608,12709678,comparative study
2609,12709678,journal article
2610,12802474,guideline
2611,12802474,journal article
2612,12802474,practice guideline
2613,12588307,journal article
2614,12588307,"research support, non-u.s. gov't"
2615,14757965,journal article
2616,14757965,review
2617,12244294,case reports
2618,12244294,journal article
2619,14524188,case reports
2620,14524188,journal article
2621,15080051,english abstract
2622,15080051,journal article
2623,12213664,journal article
2624,12213664,"research support, non-u.s. gov't"
2625,12417064,english abstract
2626,12417064,journal article
2627,15518151,english abstract
2628,15518151,journal article
2629,15518151,review
2630,12112538,journal article
2631,14997835,journal article
2632,15179756,english abstract
2633,15179756,journal article
2634,15179756,review
2635,12727986,journal article
2636,12727986,"research support, non-u.s. gov't"
2637,12865873,clinical trial
2638,12865873,journal article
2639,12865873,validation study
2640,14586408,journal article
2641,14586408,"research support, non-u.s. gov't"
2642,12420956,journal article
2643,12420956,meta-analysis
2644,12420956,"research support, non-u.s. gov't"
2645,12974744,comparative study
2646,12974744,letter
2647,12974744,"research support, non-u.s. gov't"
2648,11974535,case reports
2649,11974535,english abstract
2650,11974535,journal article
2651,12629132,journal article
2652,12629132,"research support, non-u.s. gov't"
2653,12152249,case reports
2654,12152249,english abstract
2655,12152249,journal article
2656,11937998,case reports
2657,11937998,english abstract
2658,11937998,journal article
2659,16167740,comparative study
2660,16167740,evaluation study
2661,16167740,journal article
2662,16167740,"research support, non-u.s. gov't"
2663,14692133,case reports
2664,14692133,english abstract
2665,14692133,journal article
2666,12199345,journal article
2667,12199345,review
2668,12793600,historical article
2669,12793600,journal article
2670,12971577,journal article
2671,12971577,"research support, non-u.s. gov't"
2672,12433731,comparative study
2673,12433731,journal article
2674,12433731,"research support, non-u.s. gov't"
2675,12498990,journal article
2676,12498990,review
2677,12845555,journal article
2678,12845555,review
2679,12354139,case reports
2680,12354139,journal article
2681,12828721,comparative study
2682,12828721,journal article
2683,11935320,journal article
2684,11935320,"research support, non-u.s. gov't"
2685,12858008,journal article
2686,12564092,clinical trial
2687,12564092,english abstract
2688,12564092,journal article
2689,12564092,randomized controlled trial
2690,12475368,journal article
2691,12475368,"research support, non-u.s. gov't"
2692,12133205,journal article
2693,12133205,review
2694,12845835,english abstract
2695,12845835,journal article
2696,12845835,review
2697,11999999,journal article
2698,14673664,historical article
2699,14673664,lecture
2700,12861545,case reports
2701,12861545,journal article
2702,16444153,comparative study
2703,16444153,journal article
2704,16444153,"research support, non-u.s. gov't"
2705,15179769,english abstract
2706,15179769,journal article
2707,12651838,biography
2708,12651838,historical article
2709,12651838,journal article
2710,12651838,portrait
2711,12035866,journal article
2712,12035866,review
2713,12704890,english abstract
2714,12704890,journal article
2715,12193878,case reports
2716,12193878,journal article
2717,12754531,comparative study
2718,12754531,journal article
2719,14576819,journal article
2720,14576819,"research support, non-u.s. gov't"
2721,12881714,journal article
2722,12881714,"research support, non-u.s. gov't"
2723,12886390,journal article
2724,14506636,journal article
2725,12744091,english abstract
2726,12744091,journal article
2727,12390993,journal article
2728,12939927,comment
2729,12939927,journal article
2730,14695499,case reports
2731,14695499,journal article
2732,12165113,journal article
2733,12165113,review
2734,14757960,journal article
2735,14757960,review
2736,12879283,case reports
2737,12879283,journal article
2738,12554149,journal article
2739,12554149,"research support, non-u.s. gov't"
2740,12768042,journal article
2741,12768042,"research support, non-u.s. gov't"
2742,12100071,journal article
2743,12100071,"research support, non-u.s. gov't"
2744,14676456,case reports
2745,14676456,journal article
2746,11953175,journal article
2747,12448333,english abstract
2748,12448333,journal article
2749,15542944,case reports
2750,15542944,journal article
2751,12510233,case reports
2752,12510233,journal article
2753,15179774,english abstract
2754,15179774,journal article
2755,12113923,journal article
2756,14732839,case reports
2757,14732839,english abstract
2758,14732839,journal article
2759,12678958,journal article
2760,12193880,case reports
2761,12193880,english abstract
2762,12193880,journal article
2763,11994321,journal article
2764,12872571,comparative study
2765,12872571,journal article
2766,12872571,review
2767,15799214,journal article
2768,15799214,"research support, non-u.s. gov't"
2769,15799214,review
2770,14757962,journal article
2771,14757962,review
2772,12035070,case reports
2773,12035070,journal article
2774,12721643,comparative study
2775,12721643,english abstract
2776,12721643,journal article
2777,15776623,english abstract
2778,15776623,journal article
2779,14503353,case reports
2780,14503353,journal article
2781,12150342,case reports
2782,12150342,journal article
2783,12651598,journal article
2784,12651598,"research support, non-u.s. gov't"
2785,12651598,"research support, u.s. gov't, p.h.s."
2786,12744112,clinical trial
2787,12744112,english abstract
2788,12744112,journal article
2789,12744112,randomized controlled trial
2790,12562256,case reports
2791,12562256,journal article
2792,12562256,review
2793,12199342,evaluation study
2794,12199342,journal article
2795,12168868,journal article
2796,11887038,case reports
2797,11887038,journal article
2798,16619750,journal article
2799,16619750,review
2800,12058306,comparative study
2801,12058306,english abstract
2802,12058306,journal article
2803,12788871,journal article
2804,12907632,journal article
2805,12907632,"research support, non-u.s. gov't"
2806,12907632,"research support, u.s. gov't, p.h.s."
2807,15179758,journal article
2808,15179758,"research support, non-u.s. gov't"
2809,12354788,journal article
2810,14594114,clinical trial
2811,14594114,journal article
2812,14594114,"research support, non-u.s. gov't"
2813,14595792,journal article
2814,14757968,journal article
2815,12146049,journal article
2816,11943128,journal article
2817,14636849,case reports
2818,14636849,journal article
2819,12011531,journal article
2820,12791817,clinical trial
2821,12791817,comparative study
2822,12791817,journal article
2823,14510914,case reports
2824,14510914,journal article
2825,14510914,"research support, non-u.s. gov't"
2826,14510914,"research support, u.s. gov't, p.h.s."
2827,14503919,comparative study
2828,14503919,journal article
2829,12848208,journal article
2830,12920749,comparative study
2831,12920749,journal article
2832,12788906,case reports
2833,12788906,journal article
2834,12788906,"research support, non-u.s. gov't"
2835,12699598,case reports
2836,12699598,journal article
2837,12487768,journal article
2838,12269919,journal article
2839,12612810,clinical trial
2840,12612810,comparative study
2841,12612810,journal article
2842,12612810,validation study
2843,11943634,english abstract
2844,11943634,journal article
2845,11943634,"research support, non-u.s. gov't"
2846,15030063,journal article
2847,12664529,journal article
2848,12664529,review
2849,12665653,case reports
2850,12665653,journal article
2851,12665653,"research support, non-u.s. gov't"
2852,12665653,review
2853,14757964,journal article
2854,14757964,review
2855,14669836,journal article
2856,14669836,"research support, u.s. gov't, p.h.s."
2857,14669836,review
2858,14647000,journal article
2859,14647000,"research support, non-u.s. gov't"
2860,14647000,review
2861,12962424,journal article
2862,12058297,english abstract
2863,12058297,journal article
2864,12970318,case reports
2865,12970318,journal article
2866,12970318,"research support, non-u.s. gov't"
2867,12970318,"research support, u.s. gov't, p.h.s."
2868,11914885,clinical trial
2869,11914885,comparative study
2870,11914885,journal article
2871,12087461,journal article
2872,12087461,"research support, non-u.s. gov't"
2873,11972289,comparative study
2874,11972289,journal article
2875,12864801,journal article
2876,12864801,"research support, non-u.s. gov't"
2877,14604307,journal article
2878,14604307,"research support, u.s. gov't, p.h.s."
2879,14604307,review
2880,12940451,evaluation study
2881,12940451,journal article
2882,12762636,clinical trial
2883,12762636,journal article
2884,12762636,randomized controlled trial
2885,12762636,"research support, non-u.s. gov't"
2886,12756897,english abstract
2887,12756897,journal article
2888,12679435,journal article
2889,12679435,"research support, non-u.s. gov't"
2890,12097202,comparative study
2891,12097202,journal article
2892,12097202,"research support, non-u.s. gov't"
2893,14740541,case reports
2894,14740541,english abstract
2895,14740541,journal article
2896,14714301,evaluation study
2897,14714301,journal article
2898,14714301,"research support, non-u.s. gov't"
2899,14585093,journal article
2900,12682683,journal article
2901,12559616,journal article
2902,12446923,case reports
2903,12446923,journal article
2904,12446923,"research support, non-u.s. gov't"
2905,12392209,journal article
2906,12392209,"research support, non-u.s. gov't"
2907,12358081,comment
2908,12358081,journal article
2909,14697946,comparative study
2910,14697946,journal article
2911,12446752,case reports
2912,12446752,journal article
2913,12357501,case reports
2914,12357501,journal article
2915,12058296,english abstract
2916,12058296,journal article
2917,14513996,case reports
2918,14513996,journal article
2919,12530582,journal article
2920,12530582,review
2921,12460754,journal article
2922,12460754,review
2923,12225642,comparative study
2924,12225642,journal article
2925,12089862,comparative study
2926,12089862,evaluation study
2927,12089862,journal article
2928,12073627,case reports
2929,12073627,english abstract
2930,12073627,journal article
2931,12757672,comparative study
2932,12757672,journal article
2933,14594117,clinical trial
2934,14594117,journal article
2935,12590646,case reports
2936,12590646,journal article
2937,12097205,case reports
2938,12097205,journal article
2939,12818292,case reports
2940,12818292,journal article
2941,14558922,journal article
2942,14558922,"research support, non-u.s. gov't"
2943,12708180,case reports
2944,12708180,english abstract
2945,12708180,journal article
2946,12150330,journal article
2947,12150330,"research support, non-u.s. gov't"
2948,11865745,clinical trial
2949,11865745,controlled clinical trial
2950,11865745,journal article
2951,12099393,journal article
2952,12099393,"research support, non-u.s. gov't"
2953,14766043,english abstract
2954,14766043,journal article
2955,12803237,journal article
2956,12733713,journal article
2957,15024783,journal article
2958,15024783,review
2959,14977438,clinical trial
2960,14977438,journal article
2961,14977438,randomized controlled trial
2962,14977438,"research support, non-u.s. gov't"
2963,12786749,journal article
2964,12786749,review
2965,12611610,journal article
2966,12066223,journal article
2967,12058300,clinical trial
2968,12058300,english abstract
2969,12058300,journal article
2970,12762643,journal article
2971,12604373,journal article
2972,12173910,journal article
2973,12017319,journal article
2974,12017319,"research support, non-u.s. gov't"
2975,12960191,journal article
2976,12960191,review
2977,12051452,journal article
2978,12051452,"research support, non-u.s. gov't"
2979,11929097,case reports
2980,11929097,journal article
2981,14763429,english abstract
2982,14763429,journal article
2983,14569528,guideline
2984,14569528,journal article
2985,14569528,practice guideline
2986,12843157,case reports
2987,12843157,journal article
2988,11929091,case reports
2989,11929091,journal article
2990,11929091,"research support, non-u.s. gov't"
2991,12469460,comparative study
2992,12469460,english abstract
2993,12469460,journal article
2994,15055474,journal article
2995,12364419,journal article
2996,12364419,"research support, non-u.s. gov't"
2997,12126098,comparative study
2998,12126098,journal article
2999,11889377,comparative study
3000,11889377,journal article
3001,11889377,"research support, u.s. gov't, p.h.s."
3002,12793305,journal article
3003,12793305,"research support, non-u.s. gov't"
3004,12426269,journal article
3005,12426269,"research support, non-u.s. gov't"
3006,12426269,"research support, u.s. gov't, p.h.s."
3007,14974177,journal article
3008,12708901,comparative study
3009,12708901,journal article
3010,12708901,multicenter study
3011,12444888,journal article
3012,12444888,"research support, non-u.s. gov't"
3013,12824860,clinical trial
3014,12824860,journal article
3015,12494927,journal article
3016,12494927,review
3017,12810540,journal article
3018,12810540,"research support, non-u.s. gov't"
3019,12810540,"research support, u.s. gov't, non-p.h.s."
3020,12810540,"research support, u.s. gov't, p.h.s."
3021,14524121,comparative study
3022,14524121,journal article
3023,12540505,journal article
3024,12540505,"research support, non-u.s. gov't"
3025,12516239,english abstract
3026,12516239,journal article
3027,11983726,journal article
3028,12097195,journal article
3029,12097195,"research support, non-u.s. gov't"
3030,11836274,journal article
3031,11889151,journal article
3032,11889151,"research support, non-u.s. gov't"
3033,31133159,case reports
3034,31133159,journal article
3035,31133159,review
3036,31427038,journal article
3037,31427038,review
3038,31542786,journal article
3039,31542786,review
3040,31477522,journal article
3041,31477522,"research support, n.i.h., extramural"
3042,31477522,review
3043,29950539,journal article
3044,29950539,review
3045,31583517,case reports
3046,31583517,journal article
3047,31129908,biography
3048,31129908,historical article
3049,31129908,letter
3050,30060274,journal article
3051,30060274,review
3052,29345225,journal article
3053,29345225,review
3054,32233333,journal article
3055,30788771,historical article
3056,30788771,journal article
3057,30105567,journal article
3058,30224035,journal article
3059,30224035,practice guideline
3060,30224035,review
3061,31650893,journal article
3062,31126708,journal article
3063,29931475,journal article
3064,30193753,journal article
3065,30193753,practice guideline
3066,30193753,review
3067,31889140,journal article
3068,31889140,review
3069,29580356,journal article
3070,29580356,validation study
3071,31104806,journal article
3072,32041923,journal article
3073,32041923,practice guideline
3074,31402041,case reports
3075,30342794,journal article
3076,30342794,review
3077,31464605,journal article
3078,31464605,meta-analysis
3079,31464605,systematic review
3080,30947246,clinical trial
3081,30947246,journal article
3082,30516760,journal article
3083,31221571,journal article
3084,31221571,review
3085,31786793,historical article
3086,31786793,journal article
3087,31786793,portrait
3088,29619937,journal article
3089,29619937,review
3090,30177259,journal article
3091,30177259,practice guideline
3092,30177259,review
3093,30880038,case reports
3094,30880038,journal article
3095,31389810,journal article
3096,31389810,review
3097,30180972,journal article
3098,30180972,practice guideline
3099,30180972,review
3100,30017236,journal article
3101,30778906,historical article
3102,30778906,journal article
3103,30286486,journal article
3104,30286486,review
3105,31614658,journal article
3106,29284787,journal article
3107,29669679,comment
3108,29669679,letter
3109,30055961,journal article
3110,30415868,comparative study
3111,30415868,journal article
3112,31552848,journal article
3113,31691192,journal article
3114,29847764,case reports
3115,29847764,journal article
3116,29847764,video-audio media
3117,30703831,journal article
3118,30803411,comparative study
3119,30803411,journal article
3120,30803411,randomized controlled trial
3121,31074402,journal article
3122,31103314,letter
3123,30900322,journal article
3124,31566036,case reports
3125,31566036,journal article
3126,31447477,case reports
3127,31447477,journal article
3128,30694184,journal article
3129,30694184,observational study
3130,30694184,"research support, non-u.s. gov't"
3131,29517649,journal article
3132,29517649,review
3133,31270773,journal article
3134,30925960,journal article
3135,31376092,journal article
3136,31668873,journal article
3137,31668873,"research support, non-u.s. gov't"
3138,29538609,journal article
3139,30986765,journal article
3140,30300206,case reports
3141,30300206,journal article
3142,28840845,journal article
3143,29669680,comment
3144,29669680,letter
3145,29897006,journal article
3146,29897006,"research support, non-u.s. gov't"
3147,29315620,case reports
3148,30146569,case reports
3149,30146569,journal article
3150,30489630,journal article
3151,30489630,"research support, non-u.s. gov't"
3152,30489630,systematic review
3153,30306416,historical article
3154,30306416,journal article
3155,30306416,review
3156,29755094,case reports
3157,29755094,journal article
3158,29927882,journal article
3159,29927882,review
3160,31040197,journal article
3161,31040197,randomized controlled trial
3162,30628045,journal article
3163,30141079,case reports
3164,30141079,journal article
3165,30759490,journal article
3166,29310524,journal article
3167,31030636,journal article
3168,31030636,"research support, non-u.s. gov't"
3169,31811573,journal article
3170,31285663,case reports
3171,29275168,journal article
3172,29275168,"research support, non-u.s. gov't"
3173,28602544,comparative study
3174,28602544,journal article
3175,29548512,journal article
3176,29548512,review
3177,29242007,case reports
3178,29242007,journal article
3179,30989520,journal article
3180,30989520,review
3181,30037617,historical article
3182,30037617,journal article
3183,30932000,journal article
3184,30932000,"research support, non-u.s. gov't"
3185,30045389,journal article
3186,30045389,review
3187,31740871,comparative study
3188,31740871,journal article
3189,29406821,journal article
3190,29406821,randomized controlled trial
3191,29987269,case reports
3192,29987269,journal article
3193,29215302,journal article
3194,29215302,randomized controlled trial
3195,30055100,journal article
3196,29452573,journal article
3197,30820869,case reports
3198,30820869,journal article
3199,29495045,journal article
3200,30084100,journal article
3201,31233419,journal article
3202,31233419,"research support, non-u.s. gov't"
3203,31233419,review
3204,29788738,journal article
3205,30973988,biography
3206,30973988,historical article
3207,30973988,journal article
3208,31493854,letter
3209,30506185,journal article
3210,30506185,review
3211,29853268,case reports
3212,29853268,journal article
3213,30452765,editorial
3214,30312148,comment
3215,30312148,editorial
3216,29933354,journal article
3217,29933354,review
3218,30220410,journal article
3219,30220410,practice guideline
3220,30220410,review
3221,30843179,journal article
3222,30843179,review
3223,30390054,biography
3224,30390054,editorial
3225,30390054,historical article
3226,29360235,comparative study
3227,29360235,journal article
3228,29771752,journal article
3229,29771752,review
3230,29771752,systematic review
3231,29348117,comment
3232,29348117,editorial
3233,30527019,comment
3234,30527019,journal article
3235,28954568,case reports
3236,28954568,journal article
3237,30702624,case reports
3238,30702624,journal article
3239,31844169,journal article
3240,29985834,journal article
3241,29985834,review
3242,30583800,journal article
3243,30583800,observational study
3244,31626151,case reports
3245,31626151,journal article
3246,31813786,journal article
3247,31813786,review
3248,30124533,journal article
3249,30124533,review
3250,30320502,journal article
3251,30320502,review
3252,31281088,journal article
3253,31281088,review
3254,30614922,journal article
3255,30614922,review
3256,30634005,journal article
3257,30634005,review
3258,30158361,journal article
3259,29771754,journal article
3260,29771754,"research support, non-u.s. gov't"
3261,29771754,review
3262,30055270,journal article
3263,30055270,review
3264,30259442,comment
3265,30259442,journal article
3266,30259442,review
3267,30044192,historical article
3268,30044192,journal article
3269,28942461,journal article
3270,28942461,randomized controlled trial
3271,29265783,journal article
3272,29265783,review
3273,30484670,journal article
3274,30484670,review
3275,29355489,clinical trial
3276,29355489,journal article
3277,29952931,journal article
3278,29952931,review
3279,29905641,journal article
3280,29905641,review
3281,30701789,editorial
3282,31512191,historical article
3283,31512191,journal article
3284,31512191,portrait
3285,30417713,journal article
3286,30417713,review
3287,29710176,comment
3288,29710176,journal article
3289,30456548,journal article
3290,31250924,case reports
3291,31250924,journal article
3292,31548694,comment
3293,31548694,journal article
3294,31428939,historical article
3295,31428939,journal article
3296,29108702,comment
3297,29108702,editorial
3298,31822182,case reports
3299,31822182,journal article
3300,30480323,journal article
3301,30480323,"research support, non-u.s. gov't"
3302,30480323,systematic review
3303,29248534,comment
3304,29248534,journal article
3305,30055120,case reports
3306,30055120,letter
3307,31758881,journal article
3308,31533103,case reports
3309,31235068,journal article
3310,29341792,case reports
3311,29341792,journal article
3312,30637676,comment
3313,30637676,editorial
3314,30637676,review
3315,31340750,case reports
3316,31340750,journal article
3317,31127592,letter
3318,29524827,case reports
3319,29524827,letter
3320,31757411,journal article
3321,29512622,case reports
3322,29512622,journal article
3323,29080324,case reports
3324,29080324,letter
3325,31721133,journal article
3326,31721133,review
3327,30835061,historical article
3328,30835061,journal article
3329,30487326,journal article
3330,28879586,case reports
3331,28879586,journal article
3332,30409898,case reports
3333,30409898,journal article
3334,29374396,case reports
3335,29374396,journal article
3336,29886887,case reports
3337,30196262,case reports
3338,30196262,journal article
3339,29075014,letter
3340,30989613,biography
3341,30989613,historical article
3342,30989613,journal article
3343,29401549,journal article
3344,30262854,comment
3345,30262854,journal article
3346,30262854,"research support, non-u.s. gov't"
3347,29498918,case reports
3348,29498918,journal article
3349,31313753,journal article
3350,31313753,review
3351,31651072,journal article
3352,30758612,news
3353,31182347,consensus development conference
3354,31182347,journal article
3355,31182347,practice guideline
3356,29911397,case reports
3357,29911397,journal article
3358,30536022,comparative study
3359,30536022,historical article
3360,30536022,journal article
3361,30358610,journal article
3362,30358610,review
3363,31007819,case reports
3364,29975576,case reports
3365,29975576,journal article
3366,28887209,clinical trial
3367,28887209,journal article
3368,28887209,"research support, non-u.s. gov't"
3369,29319139,journal article
3370,29319139,review
3371,31691668,journal article
3372,29633305,letter
3373,30918569,journal article
3374,29043407,journal article
3375,29043407,"research support, non-u.s. gov't"
3376,29395824,case reports
3377,29395824,journal article
3378,29395824,"research support, non-u.s. gov't"
3379,30333321,journal article
3380,30333321,"research support, n.i.h., extramural"
3381,30333321,"research support, non-u.s. gov't"
3382,30375286,journal article
3383,30375286,"research support, n.i.h., extramural"
3384,30375286,"research support, non-u.s. gov't"
3385,29461666,journal article
3386,29461666,review
3387,30048168,journal article
3388,29729448,journal article
3389,29729448,review
3390,28252265,comparative study
3391,28252265,journal article
3392,28252265,meta-analysis
3393,28252265,review
3394,29772543,journal article
3395,29772543,meta-analysis
3396,29772543,review
3397,30390053,congress
3398,29396248,comment
3399,29396248,journal article
3400,31545860,comment
3401,31545860,editorial
3402,31400860,journal article
3403,31400860,observational study
3404,30843109,case reports
3405,30843109,journal article
3406,30213303,journal article
3407,30289300,journal article
3408,30099546,journal article
3409,30099546,"research support, n.i.h., intramural"
3410,31562615,historical article
3411,31562615,journal article
3412,31562615,portrait
3413,31143336,case reports
3414,29346358,journal article
3415,29346358,"research support, non-u.s. gov't"
3416,29452583,journal article
3417,29452583,meta-analysis
3418,29452583,review
3419,29452583,systematic review
3420,29325833,journal article
3421,29325833,multicenter study
3422,31208677,letter
3423,30827828,comment
3424,30827828,journal article
3425,29772533,journal article
3426,30897952,case reports
3427,30897952,journal article
3428,29588265,case reports
3429,29588265,journal article
3430,29938629,case reports
3431,29353393,journal article
3432,29353393,review
3433,29915191,journal article
3434,29915191,review
3435,29909393,case reports
3436,29909393,journal article
3437,32461007,case reports
3438,29525760,case reports
3439,29525760,journal article
3440,29721730,historical article
3441,29721730,journal article
3442,29905638,journal article
3443,28450378,journal article
3444,30949910,journal article
3445,30949910,"research support, non-u.s. gov't"
3446,31424978,journal article
3447,30417955,case reports
3448,30417955,letter
3449,31132076,journal article
3450,31637658,journal article
3451,31637658,meta-analysis
3452,31637658,"research support, non-u.s. gov't"
3453,31268129,journal article
3454,31268129,"research support, non-u.s. gov't"
3455,31268129,systematic review
3456,30996065,case reports
3457,30996065,journal article
3458,30957064,journal article
3459,30182634,case reports
3460,30182634,journal article
3461,31292360,case reports
3462,31292360,journal article
3463,31144509,journal article
3464,30504400,journal article
3465,31496266,journal article
3466,31449767,case reports
3467,30742572,journal article
3468,30742569,journal article
3469,30929897,comment
3470,30929897,letter
3471,29285824,case reports
3472,29285824,journal article
3473,29027675,case reports
3474,32180887,case reports
3475,29108474,journal article
3476,29108474,"research support, n.i.h., extramural"
3477,29728450,case reports
3478,29728450,journal article
3479,31713721,journal article
3480,29962351,case reports
3481,29962351,journal article
3482,30935806,case reports
3483,30935806,journal article
3484,30257972,case reports
3485,30257972,journal article
3486,32476968,case reports
3487,30307028,journal article
3488,29574428,case reports
3489,29574428,journal article
3490,29791909,case reports
3491,29961394,case reports
3492,29961394,journal article
3493,30351170,journal article
3494,30396774,journal article
3495,30311856,journal article
3496,30311856,"research support, non-u.s. gov't"
3497,31383679,case reports
3498,31383679,journal article
3499,30509783,case reports
3500,30509783,journal article
3501,31450040,journal article
3502,30455812,case reports
3503,30455812,journal article
3504,30541519,journal article
3505,30626069,case reports
3506,29940469,case reports
3507,29940469,letter
3508,30514895,congress
3509,31869260,journal article
3510,31869260,"research support, non-u.s. gov't"
3511,31827052,journal article
3512,31408196,journal article
3513,31408196,"research support, non-u.s. gov't"
3514,29234848,journal article
3515,30544387,case reports
3516,30544387,journal article
3517,30235493,journal article
3518,29803209,case reports
3519,29803209,journal article
3520,31859550,journal article
3521,30537006,journal article
3522,30537006,"research support, non-u.s. gov't"
3523,31155292,journal article
3524,31155292,"research support, non-u.s. gov't"
3525,30184561,clinical trial
3526,30184561,journal article
3527,30587660,comment
3528,30587660,letter
3529,31377715,case reports
3530,31377715,journal article
3531,31609227,case reports
3532,31609227,journal article
3533,30865069,case reports
3534,30865069,journal article
3535,31252621,journal article
3536,31762351,journal article
3537,29772544,journal article
3538,30654201,journal article
3539,31633822,evaluation study
3540,31633822,journal article
3541,31633822,"research support, non-u.s. gov't"
3542,29987702,case reports
3543,29987702,journal article
3544,30309861,case reports
3545,30309861,journal article
3546,30018377,journal article
3547,30018377,"research support, non-u.s. gov't"
3548,31749116,journal article
3549,30588916,journal article
3550,30955175,journal article
3551,29053044,case reports
3552,29053044,journal article
3553,31859554,journal article
3554,31859554,observational study
3555,31290382,journal article
3556,31372509,journal article
3557,31097318,comment
3558,31097318,letter
3559,31099529,journal article
3560,31187663,journal article
3561,31187663,"research support, non-u.s. gov't"
3562,30183803,journal article
3563,30129540,journal article
3564,27773627,case reports
3565,27773627,journal article
3566,31407208,journal article
3567,31407208,multicenter study
3568,31407208,observational study
3569,30513035,journal article
3570,30513035,multicenter study
3571,30513035,observational study
3572,31222404,journal article
3573,31222404,observational study
3574,30862149,journal article
3575,31217394,journal article
3576,30197021,comment
3577,30197021,letter
3578,30688164,journal article
3579,30688164,multicenter study
3580,30173328,journal article
3581,30924917,journal article
3582,30263008,journal article
3583,30263008,"research support, non-u.s. gov't"
3584,29281760,clinical trial
3585,29281760,journal article
3586,29281760,multicenter study
3587,29281760,"research support, non-u.s. gov't"
3588,30955162,case reports
3589,30955162,letter
3590,29923059,journal article
3591,29043478,clinical trial
3592,29043478,journal article
3593,30057393,journal article
3594,29579336,journal article
3595,29579336,multicenter study
3596,31184263,journal article
3597,31184263,observational study
3598,31184263,"research support, non-u.s. gov't"
3599,31849168,journal article
3600,30390961,journal article
3601,30409157,case reports
3602,30409157,journal article
