,PMID,Observational_study_characteristics
3866,29333819,cohort
3868,30141452,cross-sectional studies
3869,30141452,cross-sectional
3870,29552789,retrospective studies
3871,29552789,retrospective
3873,31375535,retrospective studies
3874,31375535,retrospective
3875,30074074,retrospective studies
3876,30074074,retrospective
3877,31532475,retrospective
3878,31532475,cohort
3884,29688762,retrospective studies
3885,29688762,retrospective
3886,29688762,longitudinal
3887,32372175,retrospective studies
3888,32372175,retrospective
3891,30722123,case-control studies
3892,30722123,follow-up studies
3893,30722123,case-control
3897,31835129,case-control studies
3898,31835129,cohort studies
3899,31835129,cross-sectional studies
3900,31835129,case-control
3901,31835129,cohort
3902,31835129,cross-sectional
3903,30111822,prospective studies
3904,30111822,prospective
3907,30953492,case-control studies
3908,30953492,follow-up studies
3909,30953492,case-control
3910,30953492,cohort
3911,30168266,prospective studies
3912,30168266,prospective
3913,30072253,retrospective studies
3914,30072253,retrospective
3917,30955264,cohort
3918,29993215,cross-sectional studies
3919,29993215,cross-sectional
3920,31908216,retrospective studies
3921,31908216,retrospective
3924,30298217,retrospective studies
3925,30298217,cross-sectional studies
3926,30298217,retrospective
3927,30298217,cross-sectional
3928,30272298,cohort
3933,29380231,retrospective
3934,28986621,retrospective studies
3935,28986621,retrospective
3936,31821747,cohort
3939,30260174,retrospective studies
3940,30260174,retrospective
3947,30406929,case-control studies
3948,30406929,retrospective studies
3949,30406929,follow-up studies
3950,30406929,case-control
3951,30406929,retrospective
3952,30406929,cohort
3955,29022276,retrospective studies
3956,29022276,retrospective
3957,30740757,retrospective studies
3958,30740757,retrospective
3959,30740757,prospective
3961,31918249,cohort
3962,30443896,prospective studies
3963,30443896,cohort
3964,30443896,prospective
3965,30267376,prospective studies
3966,30267376,prospective
3967,30182360,retrospective
3969,30058426,cohort
3971,29536247,follow-up studies
3972,29536247,prospective studies
3973,29536247,prospective
3974,29164514,retrospective studies
3975,29164514,retrospective
3976,31648281,case-control studies
3977,31648281,case-control
3979,29273943,retrospective studies
3980,29273943,follow-up studies
3981,29273943,retrospective
3982,29273943,cohort
3985,29340973,follow-up studies
3986,31190472,retrospective studies
3987,31190472,retrospective
3988,30681614,prospective studies
3989,30681614,prospective
3990,30639646,prospective
3991,29949024,retrospective studies
3992,29949024,follow-up studies
3993,29949024,retrospective
3994,29522912,case-control studies
3995,29522912,case-control
3996,31383578,retrospective studies
3997,31383578,retrospective
4001,29703200,prospective studies
4002,29703200,cohort
4003,29703200,prospective
4004,30410095,retrospective studies
4005,30410095,cohort studies
4006,30410095,retrospective
4007,30410095,cohort
4012,28877292,retrospective studies
4013,28877292,retrospective
4014,31323353,retrospective studies
4015,31323353,retrospective
4016,31323353,cohort
4018,30772970,retrospective studies
4019,30772970,retrospective
4021,29650436,cross-sectional studies
4022,29650436,cross-sectional
4023,29030129,prospective studies
4024,29030129,prospective
4026,30472362,case-control studies
4027,30472362,case-control
4028,30472362,prospective
4031,28875268,retrospective studies
4032,28875268,follow-up studies
4033,28875268,retrospective
4037,31135104,retrospective studies
4038,31135104,retrospective
4039,29043574,follow-up studies
4040,29043574,prospective studies
4041,29043574,prospective
4042,30673079,longitudinal
4044,30509240,case-control studies
4045,30509240,case-control
4047,31340251,retrospective studies
4048,31340251,retrospective
4049,31340251,cohort
4061,35685217,retrospective studies
4062,35685217,retrospective
4063,35685217,cohort
4076,35331216,retrospective studies
4077,35331216,retrospective
4079,35459918,prospective
4082,35419775,retrospective studies
4083,35419775,retrospective
4086,34980104,case-control studies
4087,34980104,case-control
4088,35469855,case-control studies
4089,35469855,prospective studies
4090,35469855,case-control
4091,35469855,prospective
4093,35390148,prospective studies
4094,35390148,prospective
4095,35713446,cohort
4096,35313358,retrospective studies
4097,35313358,retrospective
4115,35383753,retrospective studies
4116,35383753,cross-sectional studies
4117,35383753,retrospective
4118,35383753,cross-sectional
4119,34293786,cohort
4129,34406153,cohort
4137,35230257,retrospective studies
4138,35230257,retrospective
4139,35422184,prospective studies
4140,35422184,prospective
4144,33775197,retrospective studies
4145,33775197,retrospective
4146,34487995,retrospective studies
4147,34487995,retrospective
4150,34663089,longitudinal
4151,34663089,prospective
4153,35536720,prospective
4154,35315985,prospective studies
4155,35315985,prospective
4160,35379490,retrospective studies
4161,35379490,retrospective
4162,34586224,cohort
4163,35600602,follow-up studies
4164,35488761,retrospective studies
4165,35488761,prospective studies
4166,35488761,retrospective
4167,35488761,prospective
4169,34629402,cross-sectional studies
4170,34629402,cross-sectional
4173,35100622,follow-up studies
4174,35504153,retrospective studies
4175,35504153,retrospective
4176,35504153,cohort
4177,35504153,prospective
4183,35130567,retrospective studies
4184,35130567,cross-sectional studies
4185,35130567,retrospective
4186,35130567,cohort
4187,35130567,cross-sectional
4194,34642808,retrospective studies
4195,34642808,retrospective
4196,34250837,retrospective studies
4197,34250837,retrospective
4202,34812182,retrospective studies
4203,34812182,cross-sectional studies
4204,34812182,retrospective
4205,34812182,cross-sectional
4207,35275980,retrospective studies
4208,35275980,retrospective
4209,35504602,retrospective studies
4210,35504602,retrospective
4213,34365588,retrospective studies
4214,34365588,retrospective
4218,34895729,retrospective studies
4219,34895729,retrospective
4220,35119087,prospective
4221,35651979,retrospective studies
4222,35651979,prospective studies
4223,35651979,retrospective
4224,35651979,prospective
4232,35548945,prospective studies
4233,35548945,prospective
4234,35615845,cross-sectional studies
4235,35615845,cross-sectional
4237,35331947,retrospective studies
4238,35331947,retrospective
4242,34752624,longitudinal studies
4243,34752624,longitudinal
4245,35022743,prospective studies
4246,35022743,prospective
4250,35182078,case-control studies
4251,35182078,case-control
4256,35432203,retrospective studies
4257,35432203,retrospective
4258,35482336,cross-sectional studies
4259,35482336,cross-sectional
4260,33059514,retrospective studies
4261,33059514,retrospective
4262,35528009,case-control studies
4263,35528009,case-control
4264,35528009,cohort
4268,33172865,retrospective
4276,34874894,cross-sectional studies
4277,34874894,cross-sectional
4279,34843685,retrospective studies
4280,34843685,retrospective
4281,34843685,cohort
4289,34799942,case-control studies
4290,34799942,case-control
4291,35338690,retrospective studies
4292,35338690,retrospective
4294,34291345,retrospective studies
4295,34291345,retrospective
4298,35522861,case-control studies
4299,35522861,case-control
4300,35093687,cross-sectional studies
4301,35093687,cross-sectional
4303,35145479,prospective
4307,35285929,cross-sectional studies
4308,35285929,cohort
4309,35285929,cross-sectional
4310,32878536,retrospective studies
4311,32878536,cross-sectional studies
4312,32878536,retrospective
4313,32878536,cross-sectional
4314,35692889,cross-sectional studies
4315,35692889,cross-sectional
4316,35381687,retrospective studies
4317,35381687,retrospective
4318,35381687,cohort
4322,35728893,prospective studies
4323,35728893,longitudinal
4324,35728893,prospective
4332,35184917,retrospective studies
4333,35184917,retrospective
4335,35220164,prospective studies
4336,35220164,prospective
4341,35398834,retrospective studies
4342,35398834,retrospective
4344,34861792,cohort
4345,35241008,prospective studies
4346,35241008,prospective
4347,34532987,retrospective studies
4348,34532987,retrospective
4350,35300630,prospective studies
4351,35300630,prospective
4352,35015120,retrospective studies
4353,35015120,retrospective
4354,35015120,cohort
4355,34549377,prospective
4356,35615718,prospective studies
4357,35615718,prospective
4358,35508893,retrospective
4359,34988642,cohort studies
4360,34988642,prospective studies
4361,34988642,cohort
4362,34988642,prospective
4364,34347224,retrospective studies
4365,34347224,retrospective
4366,33390059,retrospective studies
4367,33390059,prospective studies
4368,33390059,retrospective
4369,33390059,prospective
4370,35518570,case-control studies
4371,35518570,case-control
4374,35428798,retrospective studies
4375,35428798,retrospective
4376,35428798,cohort
4380,35276742,prospective studies
4381,35276742,prospective
4382,34773561,prospective
4385,35458147,cross-sectional
4389,35405683,retrospective studies
4390,35405683,retrospective
4391,35405683,cohort
4397,35064543,cohort studies
4398,35064543,cross-sectional studies
4399,35064543,cohort
4400,35064543,cross-sectional
4402,34489313,retrospective studies
4403,34489313,retrospective
4404,34060342,cohort studies
4405,34060342,cohort
4408,35713042,prospective studies
4409,35713042,cohort
4410,35713042,prospective
4415,35568525,cohort studies
4416,35568525,cohort
4418,35767887,case-control studies
4419,35767887,case-control
4420,34671950,cohort
4422,34293782,retrospective studies
4423,34293782,retrospective
4424,35439657,retrospective studies
4425,35439657,retrospective
4427,35342747,retrospective
4428,34714163,cohort studies
4429,34714163,cross-sectional studies
4430,34714163,cohort
4431,34714163,cross-sectional
4438,35555881,retrospective studies
4439,35555881,retrospective
4440,35278055,retrospective studies
4441,35278055,retrospective
4444,35734310,cross-sectional studies
4445,35734310,cross-sectional
4452,34743487,case-control studies
4453,34743487,retrospective studies
4454,34743487,case-control
4455,34743487,retrospective
4459,34330200,prospective studies
4460,34330200,prospective
4461,35413779,prospective studies
4462,35413779,prospective
4463,35144579,retrospective studies
4464,35144579,retrospective
4466,34979862,prospective studies
4467,34979862,cross-sectional studies
4468,34979862,prospective
4469,34979862,cross-sectional
4471,35405579,prospective
4475,34453884,retrospective studies
4476,34453884,prospective studies
4477,34453884,retrospective
4478,34453884,prospective
4480,34325607,case-control studies
4481,34325607,case-control
4484,35094312,retrospective studies
4485,35094312,retrospective
4487,34536118,retrospective studies
4488,34536118,retrospective
4489,34536118,cross-sectional
4493,35069439,case-control studies
4494,35069439,case-control
4495,35069439,prospective
4496,35061094,retrospective studies
4497,35061094,retrospective
4502,35265076,follow-up studies
4503,35265076,cohort
4509,33833417,retrospective studies
4510,33833417,retrospective
4511,33198545,retrospective studies
4512,33198545,cross-sectional studies
4513,33198545,retrospective
4514,33198545,cohort
4515,33198545,cross-sectional
4517,34859391,prospective
4519,35728139,retrospective studies
4520,35728139,retrospective
4521,35728139,prospective
4522,34477926,cross-sectional
4525,35476054,cross-sectional studies
4526,35476054,cross-sectional
4527,34851466,retrospective studies
4528,34851466,prospective studies
4529,34851466,retrospective
4530,34851466,prospective
4531,34544076,case-control studies
4532,34544076,case-control
4533,35637045,retrospective studies
4534,35637045,retrospective
4535,35637045,cohort
4537,35647837,retrospective studies
4538,35647837,retrospective
4540,33731890,retrospective studies
4541,33731890,prospective studies
4542,33731890,retrospective
4543,33731890,prospective
4544,35698208,retrospective studies
4545,35698208,retrospective
4548,35229626,retrospective studies
4549,35229626,retrospective
4550,35229626,cohort
4553,34607373,retrospective studies
4554,34607373,retrospective
4555,34607373,cohort
4557,34593713,prospective studies
4558,34593713,prospective
4560,34580763,cohort
4562,35370990,follow-up studies
4563,35370990,prospective studies
4564,35370990,prospective
4566,35145480,retrospective studies
4567,35145480,cohort studies
4568,35145480,retrospective
4569,35145480,cohort
4570,35465762,retrospective studies
4571,35465762,cross-sectional studies
4572,35465762,retrospective
4573,35465762,cohort
4574,35465762,cross-sectional
4579,35441746,retrospective studies
4580,35441746,retrospective
4581,34854944,cohort
4584,35091101,retrospective studies
4585,35091101,retrospective
4587,35777050,prospective
4588,35443327,prospective studies
4589,35443327,prospective
4593,34751793,retrospective studies
4594,34751793,follow-up studies
4595,34751793,retrospective
4597,35265712,retrospective studies
4598,35265712,retrospective
4599,34050454,cross-sectional studies
4600,34050454,cross-sectional
4604,35593680,prospective
4608,35638259,prospective
4610,35446435,prospective
4617,27221572,retrospective studies
4618,27221572,retrospective
4622,28658344,case-control studies
4623,28658344,retrospective studies
4624,28658344,case-control
4625,28658344,retrospective
4629,26708850,follow-up studies
4630,26708850,prospective studies
4631,26708850,prospective
4634,29336760,prospective studies
4635,29336760,prospective
4636,26706234,retrospective studies
4637,26706234,follow-up studies
4638,26706234,retrospective
4640,26520480,retrospective studies
4641,26520480,retrospective
4642,27687679,retrospective studies
4643,27687679,retrospective
4647,29172409,cross-sectional studies
4648,29172409,cross-sectional
4651,28846789,retrospective studies
4652,28846789,retrospective
4660,28395497,retrospective studies
4661,28395497,retrospective
4662,26995097,retrospective studies
4663,26995097,retrospective
4666,28331628,longitudinal studies
4667,28331628,longitudinal
4668,27042747,retrospective studies
4669,27042747,retrospective
4682,28612896,retrospective studies
4683,28612896,retrospective
4688,28328929,case-control studies
4689,28328929,case-control
4690,26319258,cohort
4693,29131274,case-control studies
4694,29131274,case-control
4695,27005286,retrospective studies
4696,27005286,retrospective
4701,26708863,retrospective studies
4702,26708863,retrospective
4703,26708863,cohort
4707,28471268,cohort
4708,28190186,case-control studies
4709,28190186,case-control
4713,28661605,retrospective studies
4714,28661605,retrospective
4715,27779276,retrospective studies
4716,27779276,prospective studies
4717,27779276,retrospective
4718,27779276,prospective
4720,28805773,follow-up studies
4722,27428220,retrospective studies
4723,27428220,retrospective
4724,27428220,cohort
4725,28835334,retrospective studies
4726,28835334,retrospective
4730,27434485,case-control studies
4731,27434485,case-control
4735,27370744,cohort studies
4736,27370744,prospective studies
4737,27370744,cohort
4738,27370744,prospective
4739,27525921,case-control studies
4740,27525921,case-control
4741,28061776,cross-sectional studies
4742,28061776,cross-sectional
4743,28323992,case-control studies
4744,28323992,cohort studies
4745,28323992,case-control
4746,28323992,cohort
4751,28872214,cohort studies
4752,28872214,cohort
4753,28872214,prospective
4758,28703113,retrospective studies
4759,28703113,retrospective
4760,26750728,prospective
4763,27927635,cross-sectional studies
4764,27927635,cross-sectional
4771,27350707,cross-sectional studies
4772,27350707,cross-sectional
4776,27673426,retrospective studies
4777,27673426,retrospective
4782,27552913,case-control studies
4783,27552913,case-control
4792,28506088,retrospective studies
4793,28506088,retrospective
4794,28728986,prospective studies
4795,28728986,prospective
4800,28329893,retrospective
4826,27304444,retrospective studies
4827,27304444,retrospective
4842,29136676,case-control studies
4843,29136676,case-control
4844,29136676,retrospective
4852,27780830,prospective studies
4853,27780830,case-control
4854,27780830,prospective
4859,28078873,retrospective studies
4860,28078873,retrospective
4861,27819113,prospective studies
4862,27819113,prospective
4864,28493593,follow-up studies
4869,28141553,prospective studies
4870,28141553,prospective
4872,27583082,retrospective studies
4873,27583082,retrospective
4881,27933384,case-control studies
4882,27933384,case-control
4883,27567653,cross-sectional studies
4884,27567653,cross-sectional
4885,29422752,cross-sectional studies
4886,29422752,cross-sectional
4892,28363119,case-control studies
4893,28363119,retrospective studies
4894,28363119,case-control
4895,28363119,retrospective
4897,28606263,retrospective studies
4898,28606263,retrospective
4900,27609530,retrospective studies
4901,27609530,retrospective
4902,29890100,retrospective studies
4903,29890100,retrospective
4906,26331303,retrospective studies
4907,26331303,retrospective
4911,26927707,retrospective studies
4912,26927707,retrospective
4913,26927707,prospective
4914,27375108,retrospective studies
4915,27375108,retrospective
4920,27494076,case-control studies
4921,27494076,case-control
4925,27402179,prospective studies
4926,27402179,prospective
4927,28456099,cross-sectional studies
4928,28456099,cross-sectional
4934,28689519,cross-sectional studies
4935,28689519,cross-sectional
4936,27281483,follow-up studies
4941,27117943,case-control studies
4942,27117943,cross-sectional studies
4943,27117943,case-control
4944,27117943,longitudinal
4945,27117943,prospective
4946,27117943,cross-sectional
4959,28420409,cross-sectional studies
4960,28420409,cross-sectional
4968,27222685,retrospective studies
4969,27222685,retrospective
4974,28060361,retrospective studies
4975,28060361,follow-up studies
4976,28060361,retrospective
4987,27809695,cohort
4989,27806812,cohort studies
4990,27806812,cohort
4991,28811561,retrospective
4992,27863789,retrospective studies
4993,27863789,cohort studies
4994,27863789,follow-up studies
4995,27863789,retrospective
4996,27863789,cohort
4998,28257132,retrospective studies
4999,28257132,retrospective
5002,27989608,retrospective studies
5003,27989608,follow-up studies
5004,27989608,retrospective
5005,27989608,prospective
5007,28457178,retrospective studies
5008,28457178,cross-sectional studies
5009,28457178,retrospective
5010,28457178,cross-sectional
5012,28389809,prospective
5014,27426718,retrospective studies
5015,27426718,retrospective
5017,27090092,prospective studies
5018,27090092,cohort
5019,27090092,prospective
5021,27055083,case-control studies
5022,27055083,case-control
5023,28699427,follow-up studies
5026,29084476,cohort
5027,29280703,retrospective studies
5028,29280703,retrospective
5032,26863422,prospective studies
5033,26863422,prospective
5037,28806880,prospective studies
5038,28806880,prospective
5039,28447590,retrospective studies
5040,28447590,retrospective
5041,28447590,cohort
5043,27651121,case-control studies
5044,27651121,retrospective studies
5045,27651121,case-control
5046,27651121,retrospective
5048,27882431,retrospective studies
5049,27882431,retrospective
5050,28255974,case-control studies
5051,28255974,case-control
5053,26925783,cohort
5055,28974848,retrospective studies
5056,28974848,follow-up studies
5057,28974848,retrospective
5059,27540885,follow-up studies
5060,29120123,cross-sectional studies
5062,29120123,cross-sectional
5063,27172524,retrospective studies
5064,27172524,retrospective
5065,26337375,follow-up studies
5066,28077500,prospective
5067,27923250,follow-up studies
5068,27923250,retrospective
5072,27050179,retrospective studies
5073,27050179,retrospective
5076,28619420,retrospective studies
5077,28619420,retrospective
5078,26969710,retrospective studies
5079,26969710,follow-up studies
5080,26969710,retrospective
5086,27693824,retrospective studies
5087,27693824,retrospective
5088,27693824,cohort
5089,27768855,cross-sectional studies
5090,27768855,cross-sectional
5091,27919147,retrospective studies
5092,27919147,retrospective
5094,28863123,case-control studies
5095,28863123,case-control
5105,26979989,cross-sectional studies
5106,26979989,cross-sectional
5114,27628269,retrospective studies
5115,27628269,retrospective
5116,28737965,case-control studies
5117,28737965,case-control
5118,28727542,prospective studies
5119,28727542,cohort
5120,28727542,prospective
5123,26603660,prospective studies
5124,26603660,prospective
5127,28631274,follow-up studies
5131,26566268,follow-up studies
5134,28255192,case-control studies
5135,28255192,case-control
5138,27070127,prospective studies
5139,27070127,prospective
5140,26321232,case-control studies
5141,26321232,case-control
5142,26062519,case-control studies
5143,26062519,case-control
5144,26796368,retrospective studies
5145,26796368,retrospective
5146,26796368,cohort
5150,27206523,follow-up studies
5152,27465670,longitudinal studies
5153,27465670,longitudinal
5155,27422154,follow-up studies
5156,27422154,prospective studies
5157,27422154,historically controlled study
5158,27422154,prospective
5162,27351809,retrospective studies
5163,27351809,follow-up studies
5164,27351809,retrospective
5165,27351809,cohort
5169,28389487,cohort
5173,28225858,cross-sectional studies
5174,28225858,prospective
5175,28225858,cross-sectional
5176,27600197,prospective
5177,27241825,retrospective studies
5178,27241825,retrospective
5183,28719405,follow-up studies
5184,28719405,longitudinal studies
5185,28719405,longitudinal
5186,28719405,prospective
5189,27553396,cross-sectional studies
5190,27553396,cross-sectional
5191,27040416,case-control studies
5192,27040416,case-control
5193,26066526,cross-sectional studies
5194,26066526,cross-sectional
5195,28812921,retrospective studies
5196,28812921,retrospective
5197,26975391,case-control studies
5198,26975391,cohort studies
5199,26975391,case-control
5200,26975391,cohort
5202,25959282,prospective studies
5203,25959282,cohort
5204,25959282,prospective
5205,28874217,retrospective studies
5206,28874217,retrospective
5207,28282437,case-control studies
5208,28282437,follow-up studies
5209,28282437,cross-sectional studies
5210,28282437,case-control
5211,28282437,cross-sectional
5212,26991229,retrospective studies
5213,26991229,retrospective
5215,27051255,retrospective studies
5216,27051255,retrospective
5217,26897110,cross-sectional studies
5218,26897110,cross-sectional
5221,28100628,retrospective studies
5222,28100628,retrospective
5224,27853049,prospective
5226,26726836,follow-up studies
5227,27094616,retrospective studies
5228,27094616,retrospective
5229,27094616,prospective
5230,28154699,retrospective studies
5231,28154699,follow-up studies
5232,28154699,retrospective
5236,28452730,cross-sectional studies
5237,28452730,cross-sectional
5245,28424141,prospective studies
5246,28424141,prospective
5247,29905996,retrospective studies
5248,29905996,retrospective
5255,28513113,cross-sectional studies
5256,28513113,cross-sectional
5258,27941044,case-control studies
5259,27941044,case-control
5260,27941044,cohort
5265,27221938,retrospective studies
5266,27221938,follow-up studies
5267,27221938,retrospective
5272,26842711,retrospective studies
5273,26842711,retrospective
5282,28050807,retrospective studies
5283,28050807,retrospective
5284,28050807,prospective
5286,27893583,retrospective studies
5287,27893583,case-control
5288,27893583,retrospective
5292,27350133,retrospective studies
5293,27350133,retrospective
5297,28861686,follow-up studies
5298,28861686,prospective studies
5299,28861686,prospective
5301,28296512,prospective studies
5302,28296512,cross-sectional studies
5303,28296512,prospective
5304,28296512,cross-sectional
5307,27651496,cross-sectional studies
5308,27651496,cross-sectional
5310,26886089,cohort studies
5311,26886089,cohort
5312,28755140,case-control studies
5313,28755140,case-control
5315,29177260,cohort
5316,27315873,case-control studies
5317,27315873,retrospective studies
5318,27315873,case-control
5319,27315873,retrospective
5320,27315873,cohort
5325,28805160,case-control studies
5326,28805160,case-control
5327,28675712,case-control studies
5328,28675712,case-control
5330,27664101,prospective studies
5331,27664101,retrospective
5332,27664101,prospective
5336,25141074,follow-up studies
5337,28319410,case-control studies
5338,28319410,retrospective studies
5339,28319410,case-control
5340,28319410,retrospective
5342,28478488,retrospective studies
5343,28478488,follow-up studies
5344,28478488,retrospective
5345,28478488,cohort
5346,27169644,retrospective studies
5347,27169644,retrospective
5348,26808176,case-control studies
5349,26808176,retrospective studies
5350,26808176,case-control
5351,26808176,retrospective
5352,26808176,cross-sectional
5354,28379055,prospective studies
5355,28379055,prospective
5359,26962803,case-control studies
5360,26962803,cross-sectional studies
5361,26962803,case-control
5362,26962803,cross-sectional
5364,26581846,retrospective studies
5365,26581846,retrospective
5367,28500433,prospective
5368,28130596,retrospective studies
5369,28130596,follow-up studies
5370,28130596,retrospective
5372,26457693,retrospective studies
5373,26457693,follow-up studies
5374,26457693,retrospective
5377,27732097,retrospective studies
5378,27732097,retrospective
5380,27542927,retrospective studies
5381,27542927,follow-up studies
5382,27542927,retrospective
5384,27304844,cohort
5385,28049190,prospective studies
5386,28049190,prospective
5389,29689681,retrospective studies
5390,29689681,retrospective
5391,26951052,cohort studies
5392,26951052,follow-up studies
5393,26951052,cohort
5399,27560939,retrospective studies
5400,27560939,retrospective
5401,27560939,cohort
5403,27430300,case-control studies
5404,27430300,case-control
5405,27430300,prospective
5408,27169807,follow-up studies
5409,27169807,prospective studies
5410,27169807,prospective
5414,27159575,longitudinal
5415,27159575,prospective
5418,29203853,case-control studies
5419,29203853,case-control
5422,27086918,retrospective studies
5423,27086918,retrospective
5424,27914141,retrospective studies
5425,27914141,follow-up studies
5426,27914141,retrospective
5427,26784518,retrospective studies
5428,26784518,retrospective
5433,28699420,retrospective studies
5434,28699420,retrospective
5435,28273705,retrospective studies
5436,28273705,retrospective
5437,28273705,cohort
5438,29270757,case-control studies
5439,29270757,prospective studies
5440,29270757,case-control
5441,29270757,prospective
5442,29235518,retrospective studies
5443,29235518,follow-up studies
5444,29235518,prospective studies
5445,29235518,retrospective
5446,29235518,prospective
5447,28192819,follow-up studies
5451,27709471,retrospective studies
5452,27709471,retrospective
5453,27680576,case-control studies
5454,27680576,prospective studies
5455,27680576,case-control
5456,27680576,prospective
5463,26584795,retrospective studies
5464,26584795,retrospective
5469,26686233,retrospective studies
5470,26686233,retrospective
5471,26632172,retrospective studies
5472,26632172,retrospective
5473,26545229,retrospective studies
5474,26545229,follow-up studies
5475,26545229,retrospective
5478,28457289,retrospective studies
5479,28457289,follow-up studies
5480,28457289,retrospective
5482,27245701,prospective
5483,27124691,retrospective studies
5484,27124691,retrospective
5486,26588206,retrospective studies
5487,26588206,retrospective
5491,28463526,follow-up studies
5500,28938397,case-control studies
5501,28938397,case-control
5503,27534827,follow-up studies
5505,26876240,retrospective studies
5506,26876240,retrospective
5507,27315349,prospective studies
5508,27315349,prospective
5510,29085976,retrospective studies
5511,29085976,retrospective
5514,27455828,retrospective studies
5515,27455828,retrospective
5520,27092721,case-control studies
5521,27092721,case-control
5523,29047240,case-control studies
5524,29047240,case-control
5525,27792295,retrospective studies
5526,27792295,retrospective
5527,28485799,case-control studies
5528,28485799,case-control
5529,27729751,retrospective studies
5530,27729751,follow-up studies
5531,27729751,retrospective
5533,28195542,case-control studies
5534,28195542,case-control
5539,26860528,retrospective studies
5540,26860528,retrospective
5544,29030215,cohort studies
5545,29030215,cohort
5547,28440759,prospective studies
5548,28440759,prospective
5552,28749399,prospective
5555,28025047,retrospective studies
5556,28025047,retrospective
5562,28284988,case-control studies
5563,28284988,case-control
5564,27487726,retrospective studies
5565,27487726,follow-up studies
5566,27487726,retrospective
5567,27487726,cohort
5569,25835051,retrospective studies
5570,25835051,follow-up studies
5571,25835051,retrospective
5573,26699948,retrospective studies
5574,26699948,retrospective
5575,28258132,case-control studies
5576,28258132,cohort studies
5577,28258132,case-control
5578,28258132,cohort
5581,28151911,retrospective studies
5582,28151911,retrospective
5583,27525532,prospective
5588,27808570,case-control studies
5589,27808570,case-control
5594,27590120,retrospective studies
5595,27590120,follow-up studies
5596,27590120,retrospective
5598,26567020,retrospective studies
5599,26567020,follow-up studies
5600,26567020,retrospective
5601,27422248,retrospective studies
5602,27422248,retrospective
5605,28961261,case-control studies
5606,28961261,case-control
5608,28178132,prospective studies
5609,28178132,prospective
5611,28005977,retrospective studies
5612,28005977,retrospective
5613,26666958,case-control studies
5614,26666958,case-control
5620,27434022,retrospective studies
5621,27434022,retrospective
5622,27434022,cross-sectional
5623,28413173,case-control studies
5624,28413173,case-control
5625,27111218,case-control studies
5626,27111218,case-control
5628,28387769,follow-up studies
5629,28387769,prospective studies
5630,28387769,prospective
5631,28219358,case-control studies
5632,28219358,case-control
5638,27393573,case-control studies
5639,27393573,prospective studies
5640,27393573,case-control
5641,27393573,prospective
5647,27536917,retrospective studies
5648,27536917,retrospective
5650,26884288,retrospective studies
5651,26884288,retrospective
5652,29412385,case-control studies
5653,29412385,cross-sectional studies
5654,29412385,case-control
5655,29412385,cross-sectional
5656,26772985,follow-up studies
5657,26772985,prospective
5662,26735962,retrospective
5663,28851197,cross-sectional studies
5664,28851197,cross-sectional
5665,28741406,retrospective studies
5666,28741406,retrospective
5671,27097064,retrospective studies
5672,27097064,follow-up studies
5673,27097064,retrospective
5674,27097064,cohort
5675,28748990,retrospective studies
5676,28748990,retrospective
5682,28492870,retrospective studies
5683,28492870,retrospective
5684,28492870,cross-sectional
5685,27779196,cohort
5686,26701678,cohort
5687,26701678,prospective
5692,28259878,retrospective studies
5693,28259878,retrospective
5696,26656610,retrospective studies
5697,26656610,follow-up studies
5698,26656610,retrospective
5700,27866202,follow-up studies
5701,27866202,prospective studies
5702,27866202,prospective
5703,27768856,case-control studies
5704,27768856,case-control
5707,29177256,retrospective studies
5708,29177256,retrospective
5711,28588345,cohort
5712,28922676,retrospective
5717,27543288,case-control studies
5718,27543288,case-control
5721,27263854,retrospective studies
5722,27263854,retrospective
5723,27219883,retrospective studies
5724,27219883,retrospective
5725,27219883,cohort
5729,28500376,case-control studies
5730,28500376,case-control
5732,30204969,follow-up studies
5733,26820406,retrospective studies
5734,26820406,retrospective
5735,26820406,cross-sectional
5740,29144795,retrospective studies
5741,29144795,retrospective
5742,27987077,case-control studies
5743,27987077,follow-up studies
5744,27987077,case-control
5745,27637079,case-control studies
5746,27637079,prospective studies
5747,27637079,case-control
5748,27637079,prospective
5749,29093229,case-control studies
5750,29093229,case-control
5753,27113266,retrospective studies
5754,27113266,retrospective
5756,27456991,case-control studies
5757,27456991,case-control
5759,27828915,retrospective studies
5760,27828915,retrospective
5761,25817259,cohort
5764,27079592,prospective studies
5765,27079592,prospective
5767,27094063,case-control studies
5768,27094063,retrospective studies
5769,27094063,case-control
5770,27094063,retrospective
5771,26020688,cross-sectional studies
5772,26020688,cross-sectional
5773,27700191,retrospective studies
5774,27700191,retrospective
5775,28336282,longitudinal studies
5776,28336282,longitudinal
5777,28336282,prospective
5779,28767604,retrospective studies
5780,28767604,follow-up studies
5781,28767604,retrospective
5782,27423310,case-control studies
5783,27423310,retrospective studies
5784,27423310,case-control
5785,27423310,retrospective
5786,27423310,cohort
5787,27241810,retrospective studies
5788,27241810,retrospective
5789,26566691,case-control
5792,26674885,case-control studies
5793,26674885,case-control
5794,28895066,prospective
5799,28001121,retrospective studies
5800,28001121,follow-up studies
5801,28001121,retrospective
5802,27734319,cohort
5803,26964732,longitudinal
5806,28176220,follow-up studies
5808,28489238,retrospective studies
5809,28489238,follow-up studies
5810,28489238,retrospective
5811,27608287,retrospective studies
5812,27608287,follow-up studies
5813,27608287,retrospective
5814,27266815,case-control
